KEY,NOTES,ENGLISH,FRENCH,SPANISH,GERMAN,ITALIAN,PORTUGUESE BR,PORTUGUESE,RUSSIAN,POLISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,Attendant plus de {{itemDescription.plural}} en {{materialType}} disponibles,Esperando a que haya disponibles más {{itemDescription.plural}} {{materialType}},Wartet auf mehr {{itemDescription.plural}} aus {{materialType}},In attesa di maggiore disponibilità di {{itemDescription.plural}} {{materialType}},Aguardando mais {{itemDescription.plural}} de {{materialType}} disponíveis,A aguardar por mais {{materialType}} {{itemDescription.plural}} disponível,Ожидание дополнительных материалов: {{materialType}} {{itemDescription.plural}},Oczekuje aż będzie dostępne więcej {{materialType}} {{itemDescription.plural}},,,,,
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,En construction,En construcción,Wird gebaut,In costruzione,Em construção,Em construção,Идет строительство,W budowie,,,,,
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,Attendant l'arrivée de ressources,Esperando a que los recursos lleguen,Wartet auf Materialien,In attesa dell'arrivo delle risorse,Aguardando a chegada de recursos,A aguardar a chegada de recursos,Ожидание доставки ресурсов,Oczekuje na dostawę zasobów,,,,,
,,,,,,,,,,,,,,,
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} et {{materialTwo}},{{materialOne}} y {{materialTwo}},{{materialOne}} und {{materialTwo}},{{materialOne}} e {{materialTwo}},{{materialOne}} e {{materialTwo}},{{materialOne}} e {{materialTwo}},{{materialOne}} и {{materialTwo}},{{materialOne}} i {{materialTwo}},,,,,
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,Soupe : {{materialDescription}},Sopa {{materialDescription}},Suppe aus {{materialDescription}},Zuppa ({{materialDescription}}),sopa de {{materialDescription}},Sopa de {{materialDescription}},{{materialDescription}} суп,Zupa z {{materialDescription}},,,,,
COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CRAFTING_TYPE.BAKING,,Baking,,,,,,,,,,,,,
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,,,,,,,,,,,,,
CRAFTING_TYPE.CARPENTRY,,Carpentry,,,,,,,,,,,,,
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,,,,,,,,,,,,,
CRAFTING_TYPE.FERMENTING,,Fermenting,,,,,,,,,,,,,
CRAFTING_TYPE.MALTING,,Malting,,,,,,,,,,,,,
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,,,,,,,,,,,,,
CRAFTING_TYPE.MILLING,,Milling,,,,,,,,,,,,,
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,,,,,,,,,,,,,
CRAFTING_TYPE.SMELTING,,Smelting,,,,,,,,,,,,,
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,,,,,,,,,,,,,
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,,,,,,,,,,,,,
CRAFTING_TYPE.WORT_BREWING,,Brewing,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Infesté de nuisibles,Infestado por plaga,Von Schädlingen befallen,Infestato dai parassiti,Infestação de pragas,Atacado por pragas,Поражено вредителями,Zaatakowane przez szkodniki,,,,,
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,,,,,,,,,,,,,
CROP.DESCRIPTION,,{{materialType.noun}} plant,Plant :{{materialType.noun}},{{materialType.noun}},{{materialType.noun}}-Pflanze,{{materialType.noun}},plantação de {{materialType.noun}},Planta {{materialType.noun}},Растение: {{materialType.noun}},Roślina {{materialType.noun}},,,,,
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Progression avant récolte : {{progress}} %,Progreso de la cosecha: {{progress}} %,Reifungsprozess: {{progress}} %,Progresso della raccolta: {{progress}}%,Progressão até a colheita: {{progress}}%,Progresso até à colheita: {{progress}}%,Прогресс до сбора урожая: {{progress}}%,Postępy zbierania: {{progress}}%,,,,,
,,,,,,,,,,,,,,,
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,,,,,,,,,,,,,
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,,,,,,,,,,,,,
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,,,,,,,,,,,,,
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,,,,,,,,,,,,,
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,,,,,,,,,,,,,
DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,,,,,,,,,,,,,
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,,,,,,,,,,,,,
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
EARTH.GRASS,,Grass,Herbe,Hierba,Gras,Erba,Relva,Erva,Трава,Trawa,,,,Fű,
EARTH.DIRT,,Dirt,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,,,,,,,,,,,,,
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,,,,,,,,,,,,,
ENTITY.DESTRUCTION_DESCRIPTION.TANTRUM,,Destroyed in a tantrum,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FLOOR.COBBLESTONE,,Cobblestone,Pavé,Adoquines,Pflasterstein,Ciottoli,Calçamento,Pedra,Булыжный,Bruk,,,,,
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}},{{floorType.noun}},{{floorType.noun}},{{floorType.noun}},{{floorType.noun}},{{floorType.noun}},{{floorType.noun}},{{floorType.noun}},,,,,
FLOOR.DIRT,,Dirt,Terre,Tierra,Boden,Terra,Solo,Terra,Грязь,Ziemia,,,,,
FLOOR.GRASS,,Grass,Herbe,Hierba,Gras,Erba,Relva,Erva,Трава,Trawa,,,,,
FLOOR.GRAVEL,,Gravel,Gravier,Grava,Kies,Ghiaia,Cascalho,Gravilha,Гравий,Żwir,,,,,
FLOOR.RIVER,,River,Rivière,Río,Fluss,Fiume,Rio,Rio,Река,Rzeka,,,,,
FLOOR.ROUGH_STONE,,Rough stone floor,Rocher brut,Piedra áspera,Steinboden,Pietra grezza,Terreno rochoso,Chão de pedra,Грубый каменный пол,Kamienna podłoga,,,,,
FLOOR.STONE_SLAB,,Stone slab,Dalle,Losa de piedra,Steinplatte,Lastre di pietra,Laje de pedra,Laje de pedra,Каменная плитка,Kamienna płyta,,,,,
FLOOR.TILLED_EARTH,,Tilled earth,Terre labourée,Tierra labrada,Ackerboden,Terreno arato,Solo arado,Terra lavrada,Обработанная земля,Ziemia uprawna,,,,,
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,,,,,,,,,,,,,
FLOOR.WOODEN,,Wooden floorboards,,,,,,,,,,,,,
FLOOR.STONE_PAVING,,Stone paving,,,,,,,,,,,,,
FLOOR.SNOW,,Fallen snow,,,,,,,,,,,,,
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),,,,,,,,,,,,,
FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),,,,,,,,,,,,,
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,,,,,,,,,,,,,
FLOOR.CHANNEL.STATE.EMPTY,,Empty,,,,,,,,,,,,,
FLOOR.CHANNEL.STATE.FULL,,Full,,,,,,,,,,,,,
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,,,,,,,,,,,,,
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,,,,,,,,,,,,,
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FUEL.SACK,,Fuel,,,,,,,,,,,,,
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FURNITURE.BEER_TAPPER,,Beer tapper,,,,,,,,,,,,,
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,,,,,,,,,,,,,
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),,,,,,,,,,,,,
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,,,,,,,,,,,,,
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,,,,,,,,,,,,,
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,,,,,,,,,,,,,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Établi de menuisier,Mesa de trabajo de carpintero,Schreinerstation,Banco dell'artigiano,Bancada de carpintaria,Bancada de trabalho de carpintaria,Верстак плотника,Stół cieśli,Timmerwerkbank,Snickarbänk,Snekkerbenk,Ács munkaasztal,Höyläpenkki
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.",,,,,,,,,,,,,
FURNITURE.CHAIR,,Chair,Chaise,Silla,Stuhl,Sedia,Cadeira,Cadeira,Стул,Krzesło,Stoel,Stol,Stol,Szék,Tuoli
FURNITURE.COKE_OVEN,,Coke oven,,,,,,,,,,,,,
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,,,,,,,,,,,,,
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{furnitureType.noun}} {{materialType.adjective}},{{furnitureType.noun}} {{materialType.adjective}},{{furnitureType.noun}} aus {{materialType}},{{furnitureType.noun}} {{materialType.adjective}},{{furnitureType.noun}} {{materialType.adjective}},{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}},,{{furnitureType.noun}} i {{materialType.adjective}},{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,,,,,,,,,,,,,
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,,,,,,,,,,,,,
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Plan de travail,Mesa para cocinar,Küchentisch,Piano di lavoro da cucina,Bancada de cozinha,Bancada de cozinha,Кухонная столешница,Blat kuchenny,,,,,
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,,,,,,,,,,,,,
FURNITURE.LANTERN,,Lantern,Lanterne,Farol,Laterne,Lanterna,Lanterna,Lanterna,Фонарь,Latarnia,Lantaarn,Lykta,Lykt,Lámpa,Lyhty
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,,,,,,,,,,,,,
FURNITURE.LARGE_TABLE,,Large table,Grande table,Mesa grande,Esstisch,Tavolo grande,Mesa grande,Mesa grande,Большой стол,Duży stół,Tafel,Stort bord,Stort bord,Nagy asztal,Suuri pöytä
FURNITURE.SINGLE_BED,,Bed,Lit,Cama,Bett,Letto,Cama,Cama,Кровать,Łóżko,,,,,
FURNITURE.SINGLE_BED.TOOLTIP,,A bed is the best place for a comfortable night’s rest. ,,,,,,,,,,,,,
FURNITURE.SINGLE_DOOR,,Door,Porte,Puerta,Tür,Porta,Porta,Porta,Дверь,Drzwi,Deur,Dörr,Dør,Ajtó,Ovi
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Encadrement de porte,Marco de puerta,Türrahmen,Telaio per porta,Moldura de porta,Ombreira de porta,Дверной косяк,Futryna,Deurkozijn,Dörrkarm,Dørkarm,Ajtókeret,Oven karmi
FURNITURE.SMALL_TABLE,,Small table,Petite table,Mesa pequeña,Tisch,Tavolo piccolo,Mesa pequena,Mesa pequena,Маленький стол,Mały stół,Tafeltje,Litet bord,Lite bord,Kis asztal,Pieni pöytä
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Établi de tailleur de pierre,Mesa de trabajo de albañil,Steinmetzstation,Banco da tagliapietre,Bancada de pedreiro,Bancada de trabalho de cantaria,Верстак каменщика,Stół kamieniarza,Steenhouwerswerkbank,Stenhuggarbänk,Steinhuggerbenk,Kőfaragó munkaasztal,Kivenhakkaajan työpenkki
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,,,,,,,,,,,,,
FURNITURE.STOOL,,Stool,Tabouret,Taburete,Hocker,Sgabello,Banqueta,Banco,Табурет,Stołek,Kruk,Pall,Krakk,Zsámoly,Jakkara
FURNITURE.WATER_BARREL,,Water barrel,Tonneau à eau,Barril de agua,Wasserfass,Barile d'acqua,Barril de água,Barril de água,Бочка для воды,Beczka na wodę,,,,,
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.",,,,,,,,,,,,,
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Établi de scieur,Soporte para cortar madera,Holzfällerstation,Banco da taglialegna,Bancada de madeireiro,Bancada de corte de lenha,Верстак резчика по дереву,Stół do cięcia drewna,Zaagwerkbank,Huggkubb,Sagbenk,Favágó munkaasztal,Sahapukki
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,,,,,,,,,,,,,
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,,,,,,,,,,,,,
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.",,,,,,,,,,,,,
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Chaudron,Caldero,Kessel,Calderone,Caldeirão,Caldeirão,Котел,Kocioł,,,,,
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,,,,,,,,,,,,,
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Table de banquet,Mesa para banquetes,Festtafel,Tavolo da banchetto,Mesa de banquete,Mesa de banquete,Огромный стол,Stół biesiadny,,,,,
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",,,,,,,,,,,,,
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Buffet,Mesa para servir,Serviertisch,Tavolo di servizio,Mesa de refeições,Mesa auxiliar,Сервировочный стол,Stół do podawania posiłków,,,,,
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,,,,,,,,,,,,,
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Four de boulanger,Horno para panaderos,Backofen,Forno da panettiere,Forno de padeiro,Forno de padaria,Духовка для выпечки,Piec do chleba,,,,,
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,,,,,,,,,,,,,
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,,,,,,,,,,,,,
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,,,,,,,,,,,,,
FURNITURE.MASH_TUN,,Mash tun,,,,,,,,,,,,,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,,,,,,,,,,,,,
FURNITURE.BREW_KETTLE,,Brew kettle,,,,,,,,,,,,,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,,,,,,,,,,,,,
FURNITURE.FERMENTATION_TANK,,Fermentation tank,,,,,,,,,,,,,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,,,,,,,,,,,,,
FURNITURE.MUSHROOM_LOG,,Mushroom log,,,,,,,,,,,,,
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",,,,,,,,,,,,,
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,,,,,,,,,,,,,
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",,,,,,,,,,,,,
