KEY,NOTES,ENGLISH,SPANISH
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,
CRAFTING_TYPE.MILLING,,Milling,
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,
CRAFTING_TYPE.SMELTING,,Smelting,
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,
CRAFTING_TYPE.WORT_BREWING,,Brewing,

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Infestado por plaga
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Este cultivo ha sido afectado por un número excesivo de áfidos y otros insectos que necesitan ser removidos por un {{PROFESSION.FARMER}} antes de que pueda florecer de nuevo. No eliminar las plagas a tiempo podría significar que esta cosecha muere!
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Progreso de la cosecha: {{progress}} %

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Desechos que caen
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Deshidratación
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Agotamiento
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Intoxicación alimentaria
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,La inanición
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Circunstancias misteriosas

EARTH.DIRT,,Dirt,Suciedad
EARTH.GRASS,,Grass,Hierba

FLOOR.COBBLESTONE,,Cobblestone,Adoquines
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Tierra
FLOOR.GRASS,,Grass,Hierba
FLOOR.GRAVEL,,Gravel,Grava
FLOOR.RIVER,,River,Río
FLOOR.ROUGH_STONE,,Rough stone floor,Piedra áspera
FLOOR.STONE_SLAB,,Stone slab,Losa de piedra
FLOOR.TILLED_EARTH,,Tilled earth,Tierra labrada
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Inexplorada

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Pan de roca
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,Se trata de un pan infame duro que es tan duro y prácticamente no comestible que tarda mucho tiempo en ponerse mohoso. El explorador humano J. A. Moffatt describió una vez comerlo como «similar a masticar grava que ha sido dragada de un pantano». Afortunadamente a la mayoría de los enanos no les importa.
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Trigo

FUEL.SACK,,Fuel,Combustible
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Se requiere combustible en la producción de metal, tanto por el {{Furniture.BLOOMERY_FURENT}} como por el {{Furniture.FORGE}}."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Encimera de panadero
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} trabaja aquí para convertir {{RESOURCE.FloUR.SACK.PLURAL}} en {{IngreDIENT.GRAST}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Horno para panaderos
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} hornea aquí con {{Ingredient.masa} preparado.
FURNITURE.BEER_TAPPER,,Beer tapper,
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Horno Bloomery
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,Un {{PROFESSION.BLACKSMITH}} utiliza este horno manual para convertir {{RESOURCE.ORE.CLUSH.PLURAL}} y {{FUEL.SACK}} en {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INTOT.PLURAL}}.
FURNITURE.BREW_KETTLE,,Brew kettle,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Mesa de trabajo de carpintero
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","La mayoría de los artículos y herramientas de madera se producen aquí, como {{PRODUCT.BUCKET.PLURAL}} y {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Caldero
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Un caldero se usa para servir una gran cantidad de sopa a los colonos hambrientos. La sopa se produce en un {{ROOMS.KITCHEN}} antes de ser trasladada a un {{ROOMS.FEASTING_HALL}} para servir.
FURNITURE.CHAIR,,Chair,Silla
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Abrazadera de carbón
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Este es un montón de {{RESOURCE.LOGS.PLURAL}} cubierto con {{MATERIAL_TYPE.EARTH}} y quemado lentamente para producir {{ORE.CHARCOAL.NOUN}}, que luego se puede utilizar como {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Coca-Cola
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,Un horno de coque convierte {{ORE.BUTMINOUS_COAL.NOUN}} en {{ORE.COKE.NOUN}} para que pueda usarse como {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{furnitureType.noun}} {{materialType.adjective}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Progreso hasta la finalización: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Progreso para completar la inocuación: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,Progreso al registro de hongos de choque: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Esperando {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Esperando a ser llenado
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,A la espera de ser inyectado con desove de hongos
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Mesa para banquetes
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Con un {{Furniture.CHAIR}} en su lugar, sus colonos disfrutarán de sus comidas en esta mesa."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Molino de Gristmill
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,La molinillo muele {{VEGETADABLE WHEIGH}} en {{RESOURCE.FloUR.SACK.NOUN}} para que pueda ser utilizada por un {{PROFESSION.CHEF}}.
FURNITURE.FORGE,,Forge,Falsificar
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,Aquí es donde {{PROFESSION.BLACKSMITH}} trabaja con {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} y {{FUEL.SACK}} para crear artículos y armas.
FURNITURE.GRAVE,,Grave,Tumba
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,Una tumba excavada apresuradamente para colonos fallecidos que solo se puede colocar en {{MATERIAL_TYPE.EARTH}}.
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Mesa para cocinar
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Un área para almacenar ingredientes para un {{PROFESSION.CHEF}} para cocinar sopa.
FURNITURE.LANTERN,,Lantern,Farol
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,"Una linterna proporciona luz, esto no tiene un efecto en el juego."
FURNITURE.LARGE_TABLE,,Large table,Mesa grande
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ",
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,Troncos de setas
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",Un tronco que ha sido inyectado con {{Ingredient.MUSHROOM.SPAWN.PLURAL}} para producir varias cosechas de hongos deliciosos y jugosos.
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Depósito de choque
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","Después de la inoculación, se coloca un {{Furniture.MUSHROOM_LOG}} en este tanque para «impactar» a la colonia de hongos y animarla a cultivar hongos."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Estación de trituración de mineral
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} se tritura a un tamaño más viable para que se pueda utilizar en {{Furniture.BLOOMERY_FURNE}}.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Pilar
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,Se requiere un pilar para evitar el colapso de grandes áreas minadas. Un área de baldosas de 7 x 7 que se han extraído sin pilares u otros soportes en su lugar eventualmente colapsará.
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarcófago
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Este elaborado recipiente de piedra es el lugar de descanso final de un colono fallecido.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Mesa para servir
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} se colocan aquí para servir después de ser horneados en un {{Furniture.BAKING_Oven}}.
FURNITURE.SINGLE_BED,,Bed,Cama
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",Una cama es el mejor lugar para una noche de descanso confortable.
FURNITURE.SINGLE_DOOR,,Door,Puerta
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Marco de puerta
FURNITURE.SMALL_TABLE,,Small table,Mesa pequeña
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Mesa de trabajo de albañil
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,Un {{PROFESSION.STONEMASON}} trabaja aquí con {{MATERIAL_TYPE.STONE.ADJECTIVE}} recursos.
FURNITURE.STOOL,,Stool,Taburete
FURNITURE.WATER_BARREL,,Water barrel,Barril de agua
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","Un barril de agua es un lugar para que sus colonos tomen una bebida que refresque la sed, en lugar de tener que encontrar una fuente de agua natural como el río."
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Soporte para cortar madera
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,Un {{PROFESSION.WOODCUTTER}} trabaja aquí para convertir {{RESOURCE.LOGS.PLURAL}} en {{RESOURCE.PLANKS.PLURAL}}.

GEM.AMETHYST.ADJECTIVE,,Amethyst,De amatista
GEM.AMETHYST.NOUN,,Amethyst,Amatista
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,Una variedad de cuarzo en tonos violetas. Los antiguos humanos creían que podía protegerlos mágicamente de emborracharse. Por esta razón no es muy popular en la cultura enana.
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolita
GEM.AMMOLITE.NOUN,,Ammolite,Ammolita
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,Una piedra preciosa similar al óplo que tiene una iridiscencia de color rojo a verde. Se conoce como la «piedra de caza» y los amuletos hechos de ella están destinados a traer buena suerte a una caza.
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,De aguamarina
GEM.AQUAMARINE.NOUN,,Aquamarine,Aguamarina
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,Variedad de berilo de color cianuro. Algunos humanos creen que ofrece protección mágica contra los peligros de los mares. Esto se debe a que un antiguo mago usó una combinación de cielo y magia de hielo para proteger a los barcos comerciales durante la era de la oscuridad.
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbite
GEM.BIXBITE.NOUN,,Bixbite,Bixbite
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.","También conocida como berilo rojo, es una piedra preciosa muy rara. A menudo se confunde con una esmeralda de color rojo."
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinabrio
GEM.CINNABAR.NOUN,,Cinnabar,Cinabrio
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,Un mineral de mercurio que se utiliza a menudo en joyas debido a su tono rojo intenso. También se utiliza para producir el colorante conocido como bermellón.
GEM.CITRINE.ADJECTIVE,,Citrine,De cuarzo
GEM.CITRINE.NOUN,,Citrine,Cuarzo
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","Una variedad amarillenta de cuarzo. Es la piedra preciosa más similar en color al oro, por lo que la mayoría de los enanos piensan que el citrino tiene suerte."
GEM.DIAMOND.ADJECTIVE,,Diamond,De diamante
GEM.DIAMOND.NOUN,,Diamond,Diamante
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,El material más difícil conocido y una de las más importantes de las siete piedras celestiales. Los diamantes son la forma más condensada del elemento neutro conocido como «espíritu» o «éter».
GEM.EMERALD.ADJECTIVE,,Emerald,De esmeralda
GEM.EMERALD.NOUN,,Emerald,Esmeralda
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,Una variedad verde vibrante de berilo. Se cree que el grabado en una esmeralda trae una gran desgracia. Las esmeraldas están estrechamente relacionadas con la vida elemental y la magia asociada.
GEM.GARNET.ADJECTIVE,,Garnet,De granate
GEM.GARNET.NOUN,,Garnet,Granate
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","Los granates cubren una variedad de minerales utilizados como piedras preciosas, todos con un color rojo intenso. Algunas gemas granate son en realidad una forma condensada de fuego elemental."
GEM.JADE.ADJECTIVE,,Jade,De jade
GEM.JADE.NOUN,,Jade,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Un mineral con un color verde claro que se utiliza a menudo para la decoración. Además, los elfos han sido conocidos por usar jade para producir medicamentos que pueden curar dolencias del intestino."
GEM.JASPER.ADJECTIVE,,Jasper,De jaspe
GEM.JASPER.NOUN,,Jasper,Jaspe
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","Una variedad impura de sílice que puede aparecer en varios colores, pero más comúnmente rojo. El jaspe es favorecido como material de decoración por los orcos debido a su variedad."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorita
GEM.LABRADORITE.NOUN,,Labradorite,Labradorita
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,Una roca que brilla con una iridiscencia típicamente azul claro. Los especímenes más raros pueden reflejar una amplia gama de colores.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapislázuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapislázuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,Una roca con un brillante tono azul profundo que se utiliza como piedra preciosa.
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnesita
GEM.MAGNESITE.NOUN,,Magnesite,Magnesita
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,Un mineral que se puede pulir en perlas para su uso en joyería. Estas cuentas se pueden teñir en muchos colores diferentes.
GEM.MOONSTONE.ADJECTIVE,,Moonstone,De piedra lunar
GEM.MOONSTONE.NOUN,,Moonstone,Piedra lunar
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Se cree que está formada por la luz de la luna capturada en la roca, lo que hace de esta piedra preciosa una de las favoritas de los elfos."
GEM.MORGANITE.ADJECTIVE,,Morganite,De morganita
GEM.MORGANITE.NOUN,,Morganite,Morganita
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,Variedad de berilo de color rosa. Fue nombrado después de ser popularizado por un comerciante particularmente rico en la era del mito.
GEM.OPAL.ADJECTIVE,,Opal,De ópalo
GEM.OPAL.NOUN,,Opal,Ópalo
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","Una forma de sílice impregnada de la magia de los océanos, lo que hace de esta una de las favoritas de los marineros y pescadores."
GEM.PAINITE.ADJECTIVE,,Painite,Painita
GEM.PAINITE.NOUN,,Painite,Painita
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,Una piedra preciosa muy rara que a menudo se identifica como un zafiro fuera de color. Los cristales son naturalmente hexagonales y uno de los favoritos de los tácticos.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rodocrosita
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rodocrosita
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,"Se encuentra en diferentes tonos de rojo a rosa. No es tan duro como la mayoría de las piedras preciosas, por lo que es una mala elección para anillos y otras joyas de alto impacto."
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,De cristal de roca
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Cristal de roca
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,La forma más pura de cuarzo. Los cristales de roca a menudo aparecen en artefactos mágicos ya que son una forma condensada del elemento de hielo.
GEM.RUBY.ADJECTIVE,,Ruby,De rubí
GEM.RUBY.NOUN,,Ruby,Rubí
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","Una de las siete piedras celestiales, los rubíes son el elemento del fuego condensado en una forma sólida."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,De zafiro
GEM.SAPPHIRE.NOUN,,Sapphire,Zafiro
