KEY,NOTES,ENGLISH,PORTUGUESE
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} e {{materialTwo}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,Sopa de {{materialDescription}}

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Atacado por pragas
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Esta cultura foi aflita por um número excessivo de pulgões e outros insetos que precisam ser removidos por um {{PROFISSION.FARMER}} antes que possa florescer novamente. Não remover as pragas no tempo pode significar que esta colheita morre!
CROP.DESCRIPTION,,{{materialType.noun}} plant,Planta {{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Progresso até à colheita: {{progress}}%

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Detritos caindo
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Desidratação
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Exaustão
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Intoxicação alimentar
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Inanição
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Circunstâncias misteriosas

EARTH.DIRT,,Dirt,Sujeira
EARTH.GRASS,,Grass,Erva

FLOOR.COBBLESTONE,,Cobblestone,Pedra
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Terra
FLOOR.GRASS,,Grass,Erva
FLOOR.GRAVEL,,Gravel,Gravilha
FLOOR.RIVER,,River,Rio
FLOOR.ROUGH_STONE,,Rough stone floor,Chão de pedra
FLOOR.STONE_SLAB,,Stone slab,Laje de pedra
FLOOR.TILLED_EARTH,,Tilled earth,Terra lavrada
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Inexplorado

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Pão de Rocha
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Este é um pão infame duro que é tão duro e praticamente não comestível que leva muito tempo para ficar moldado. O explorador humano J. A. Moffatt descreveu uma vez comê-lo como “semelhante a mastigar cascalho que foi dragado de um pântano”. Felizmente, a maioria dos anões não parecem se importar."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Trigo

FUEL.SACK,,Fuel,Combustível
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","O combustível é necessário na produção de metal, tanto pelo {{MOBILITURE.BLOOMERY_FURNE}} e pelo {{MOBILITURE.FORGE}}."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Bancada de padeiro
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Um {{PROFISSION.CHEF}} trabalha aqui para transformar {{RESOURCE.FLOUR.SACK.PLURAL} em {{INGREIENT.DASHY}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Forno de padaria
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Um {{PROFISSION.CHEF}} assa pães aqui usando {{INGREIENT.DATHY}} preparados.
FURNITURE.BEER_TAPPER,,Beer tapper,
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Forno de Bloomery
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,Um {{PROFISSION.BLACKSMITH}} usa este forno operado à mão para transformar {{RESOURCE.ORE.CROSSHED.PLURAL}} e {{FUEL.SACK}} em {{MATERIAL_TYPE.METAL.ADJECTIVE}} {RESOURCE.METAL.INGOT.PLURAL}}.
FURNITURE.BREW_KETTLE,,Brew kettle,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Bancada de trabalho de carpintaria
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","A maioria dos itens e ferramentas de madeira são produzidos aqui, como {{PRODUCT.BUCKET.PLURAL}} e {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Caldeirão
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Um caldeirão é usado para servir uma grande quantidade de sopa para colonos famintos. A sopa é produzida em {{ROOMS.KITCHEN}} antes de ser movida para um {{ROOMS.FEASTING_HALL}} para servir.
FURNITURE.CHAIR,,Chair,Cadeira
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Grampo de carvão
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Esta é uma pilha de {{RESOURCE.LOGS.PLURAL} coberto com {{MATERIAL_TYPE.EARTH}} e lentamente queimado para produzir {{ORE.CHARCOAL.NOUN}}, que pode então ser usado como {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Forno de coque
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,Um forno de coque converte {{ORE.BITUMINOUS_COAL.NOUN}} em {{ORE.COKE.NOUN}} para que possa ser usado como {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Progresso até a conclusão: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Progresso para completar a inoculação: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,Progresso para chocar o log do cogumelo: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Aguardando {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Esperando para ser preenchido
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Esperando para ser injetado com desova de cogumelos
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Mesa de banquete
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Com um {{FURNITURE.CHAIR}} no lugar, seus colonos irão desfrutar de suas refeições nesta mesa."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Moinho de Gristill
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,A moagem de moagem {{VEGETABLE.WORT}} em {{RESOURCE.FLOUR.SACK.NOUN}} para que possa ser usada por um {{PROFISSION.CHEF}}.
FURNITURE.FORGE,,Forge,Forjar
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,Aqui é onde um {{PROFISSION.BLACKSMITH}} trabalha com {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} e {FUEL.SACK}} para criar itens e armas.
FURNITURE.GRAVE,,Grave,Sepultura
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,Uma sepultura cavada às pressas para colonos falecidos que só pode ser colocada em {{MATERIAL_TYPE.EARTH}}.
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Bancada de cozinha
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Uma área para armazenar ingredientes para um {{PROFISSION.CHEF}} para cozinhar sopa.
FURNITURE.LANTERN,,Lantern,Lanterna
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,Uma lanterna fornece luz — isso não tem um efeito no jogo.
FURNITURE.LARGE_TABLE,,Large table,Mesa grande
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ",
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,Diário de cogumelos
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",Um tronco que foi injetado com {{INGREIENT.CUSHROOM.SPAWN.PLURAL}} para produzir várias colheitas de cogumelos deliciosos e suculentos.
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Tanque de choque
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","Após a inoculação, um {{MOBILITURE.MUSHROOM_LOG}} é colocado neste tanque para “chocar” a colônia de cogumelos e incentivá-la a cultivar cogumelos."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Estação de trituração de minério
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,{{RESOURCE.ORE.UNREFINED.PLURAL}} é esmagado para um tamanho mais viável para que ele possa ser usado em um {{MOBILITURE.BLOOMERY_FURNE}}.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Pilar
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,É necessário um pilar para impedir que grandes áreas extraídas desmoronem. Uma área de azulejos 7x7 que foram extraídos sem pilares ou outros suportes no lugar acabará por entrar em colapso.
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarcófago
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Este elaborado recipiente de pedra é o local de descanso final de um colono falecido.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Mesa auxiliar
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} são colocados aqui para servir depois de ser cozido em um {{MOBILITURE.BAKING_OVEN}}.
FURNITURE.SINGLE_BED,,Bed,Cama
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",Uma cama é o melhor lugar para uma noite de descanso confortável.
FURNITURE.SINGLE_DOOR,,Door,Porta
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Ombreira de porta
FURNITURE.SMALL_TABLE,,Small table,Mesa pequena
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Bancada de trabalho de cantaria
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,Um {{PROFISSION.STONEMASON}} trabalha aqui com recursos {{MATERIAL_TYPE.STONE.ADJECTIVE}}.
FURNITURE.STOOL,,Stool,Banco
FURNITURE.WATER_BARREL,,Water barrel,Barril de água
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","Um barril de água é um lugar para seus colonos obterem uma bebida que sacia a sede, em vez de terem que encontrar uma fonte de água natural como o rio."
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Bancada de corte de lenha
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,Um {{PROFISSION.WOODCUTTER}} trabalha aqui para transformar {{RESOURCE.LOGS.PLURAL}} em {{RESOURCE.PLANKS.PLURAL}}.

GEM.AMETHYST.ADJECTIVE,,Amethyst,De ametista
GEM.AMETHYST.NOUN,,Amethyst,Ametista
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,"Uma variedade violeta de quartzo. Antigos humanos acreditavam que poderia magicamente protegê-los de ficarem bêbados demais. Por esta razão, não é muito popular na cultura anã."
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolite
GEM.AMMOLITE.NOUN,,Ammolite,Ammolite
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,Uma pedra preciosa semelhante a opala que tem uma iridescência vermelha a verde. É conhecido como a “pedra de caça” e os amuletos feitos dele destinam-se a trazer boa sorte a uma caça.
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,De água-marinha
GEM.AQUAMARINE.NOUN,,Aquamarine,Água-marinha
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,Uma variedade ciano-colorida de berilo. Alguns humanos acreditam que oferece proteção mágica contra os perigos dos mares. Isso ocorre porque um mago antigo usou uma combinação de magia do céu e do gelo para proteger navios comerciais durante a era das trevas.
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbite
GEM.BIXBITE.NOUN,,Bixbite,Bixbite
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.","Também conhecido como berilo vermelho, é uma pedra preciosa muito rara. É muitas vezes confundido para uma esmeralda de cor vermelha."
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinabre
GEM.CINNABAR.NOUN,,Cinnabar,Cinabre
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,Um minério de mercúrio que é frequentemente usado em joalharia devido à sua tonalidade vermelha profunda. Também é usado para produzir o corante conhecido como vermelhão.
GEM.CITRINE.ADJECTIVE,,Citrine,De citrino
GEM.CITRINE.NOUN,,Citrine,Citrino
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","Uma variedade amarelada de quartzo. É a pedra preciosa mais semelhante em cor ao ouro, então a maioria dos anões acha que o citrino é sortudo."
GEM.DIAMOND.ADJECTIVE,,Diamond,De diamante
GEM.DIAMOND.NOUN,,Diamond,Diamante
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,O material mais duro conhecido e uma das mais importantes das sete pedras celestiais. Os diamantes são a forma mais condensada do elemento neutro conhecido como “espírito” ou “éter”.
GEM.EMERALD.ADJECTIVE,,Emerald,De esmeralda
GEM.EMERALD.NOUN,,Emerald,Esmeralda
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,Uma variedade verde vibrante de berilo. Acredita-se que a gravação em uma esmeralda traz grande infortúnio. As esmeraldas estão intimamente relacionadas com a vida elementar e a magia associada.
GEM.GARNET.ADJECTIVE,,Garnet,De granada
GEM.GARNET.NOUN,,Garnet,Granada
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","Granadas cobrem uma variedade de minerais usados como pedras preciosas, todos com uma cor vermelha profunda. Algumas gemas de granada são, na verdade, uma forma condensada de fogo elementar."
GEM.JADE.ADJECTIVE,,Jade,De jade
GEM.JADE.NOUN,,Jade,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Um mineral com uma cor verde-clara frequentemente usado para decoração. Além disso, elfos são conhecidos por usar jade para produzir medicamentos que podem curar doenças do intestino."
GEM.JASPER.ADJECTIVE,,Jasper,De jaspe
GEM.JASPER.NOUN,,Jasper,Jaspe
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","Uma variedade impuro de sílica que pode ocorrer em várias cores, mas mais comumente vermelha. Jasper é favorecido como um material de decoração por orcs devido à sua variedade."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorita
GEM.LABRADORITE.NOUN,,Labradorite,Labradorita
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,Uma rocha que brilha com uma iridescência tipicamente azul claro. Espécimes mais raros podem refletir uma ampla gama de cores.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lápis-lazúli
GEM.LAPIS.NOUN,,Lapis lazuli,Lápis-lazúli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,Uma rocha com um tom azul profundo brilhante que é usado como uma pedra preciosa.
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnesita
GEM.MAGNESITE.NOUN,,Magnesite,Magnesita
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,Um mineral que pode ser polido em grânulos para uso em joalharia. Estas contas podem ser tingidas em muitas cores diferentes.
GEM.MOONSTONE.ADJECTIVE,,Moonstone,De pedra da lua
GEM.MOONSTONE.NOUN,,Moonstone,Pedra da lua
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Pensado ser formado pelo luar capturado em rocha, o que torna esta pedra preciosa uma das favoritas dos elfos."
GEM.MORGANITE.ADJECTIVE,,Morganite,De morganite
GEM.MORGANITE.NOUN,,Morganite,Morganite
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,Uma variedade de cor rosa de berilo. Foi nomeado após ser popularizado por um comerciante particularmente rico na era do mito.
GEM.OPAL.ADJECTIVE,,Opal,De opala
GEM.OPAL.NOUN,,Opal,Opala
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","Uma forma de sílica infundida com a magia dos oceanos, o que torna este um favorito dos marinheiros e pescadores."
GEM.PAINITE.ADJECTIVE,,Painite,- Painite
GEM.PAINITE.NOUN,,Painite,- Painite
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,Uma pedra preciosa muito rara que é muitas vezes identificada como uma safira fora de cor. Os cristais são naturalmente hexagonais em forma e um favorito dos táticos.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rodocrosite
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rodocrosite
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,Encontrado em vários tons de vermelho a rosa. Não é tão difícil como a maioria das pedras preciosas tornando-o uma escolha ruim para anéis e outras jóias de alto impacto.
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,De cristal de rocha
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Cristal de rocha
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,A forma mais pura de quartzo. Cristais de rocha muitas vezes apresentam artefatos mágicos como eles são uma forma condensada do elemento de gelo.
GEM.RUBY.ADJECTIVE,,Ruby,De rubi
GEM.RUBY.NOUN,,Ruby,Rubi
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","Uma das sete pedras celestiais, rubis são o elemento de fogo condensado em uma forma sólida."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,De safira
GEM.SAPPHIRE.NOUN,,Sapphire,Safira
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Muitas vezes acredita-se para proteger o usuário da atenção dos demônios, safiras são muito procuradas por magos para uso no céu e magia baseada no ar."
GEM.SPINEL.ADJECTIVE,,Spinel,De espinela
GEM.SPINEL.NOUN,,Spinel,Espinela
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Muitas vezes confundidos com pedras celestiais como verdadeiros rubis e safiras, os espinéis são uma forma menor de joia mágica infundida que pode ser associada a qualquer um dos elementos, dependendo da cor."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,De tanzanite
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanite
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,Uma pedra preciosa rara que pode alternar entre azul e violeta. Acredita-se que seja formado a partir do corpo material de um deus morto.
GEM.TOPAZ.ADJECTIVE,,Topaz,De topázio
GEM.TOPAZ.NOUN,,Topaz,Topázio
