KEY,NOTES,ENGLISH,DANISH
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,{{materialDescription}} suppe

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Ramt af skadedyr
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,"Denne afgrød er ramt af en stor mængde bladlus og andre insekter, som skal fjernes af {{PROFESSION.FARMER}} før den kan blomstre igen. Hvis ikke, kan planten dø efter tilstrækkelig tid!"
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}} plante
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Fremskridt mod høst: {{progress}}%

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Faldene vragrester
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Dehydrering
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Udmattelse
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Madforgiftning
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Sult
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Mystiske omstændigheder

EARTH.DIRT,,Dirt,Jord
EARTH.GRASS,,Grass,Gras

FLOOR.COBBLESTONE,,Cobblestone,Brosten
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Jord
FLOOR.GRASS,,Grass,Gras
FLOOR.GRAVEL,,Gravel,Grus
FLOOR.RIVER,,River,Flod
FLOOR.ROUGH_STONE,,Rough stone floor,Ru stengulv
FLOOR.STONE_SLAB,,Stone slab,Sten plade
FLOOR.TILLED_EARTH,,Tilled earth,Pløjet jord
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Ikke udforsket

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Stenbrød
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Dette er et berygted hårdt brød, som er så hårdt og uspiseligt at det tager lang tid før det mugner. Den menneskelige udforsker J. A. Moffatt beskrev det engang som at spise grus taget fra en svamp. Heldigvis virker de fleste dværge til at være ligeglade."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Hvede

FUEL.SACK,,Fuel,Brændstof
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Brændstof er nødvendigt I produktionen af metal, både af {{FURNITURE.BLOOMERY_FURNACE}} og {{FURNITURE.FORGE}}."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Bagers arbejdstop
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,En {{PROFESSION.CHEF}} arbejder her for at lave {{RESOURCE.FLOUR.SACK.PLURAL}} om til{{INGREDIENT.DOUGH}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Bagers ovn
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,En {{PROFESSION.CHEF}} bager stykker af brød her ved at bruge {{INGREDIENT.DOUGH}}.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Blomstrende ovn
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,En {{PROFESSION.BLACKSMITH}} bruger denne hånd-opereret ovn til at forvandle  {{RESOURCE.ORE.CRUSHED.PLURAL}} og {{FUEL.SACK}} om til {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Tømers arbejdsbord
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","De fleste træ genstande og værktøjer er produceret her, såsom {{PRODUCT.BUCKET.PLURAL}} og {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kedel
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,En keddel bliver brugt til at servere store mængder suppe til bosætterne. Suppen er produceret i et {{ROOMS.KITCHEN}} før den bliver bragt hen til {{ROOMS.FEASTING_HALL}} til servering.
FURNITURE.CHAIR,,Chair,Stol
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Trækuls klemme
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Dette er en bunk af {{RESOURCE.LOGS.PLURAL}} dækket af {{MATERIAL_TYPE.EARTH}} som langsomt bliver brændt, for at producere {{ORE.CHARCOAL.NOUN}}, som kan bruges til {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Koksovn
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,En koksovn konventere {{ORE.BITUMINOUS_COAL.NOUN}} til {{ORE.COKE.NOUN}} så det kan bruges som {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Fremskridt: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Fremskridt til podning: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,Fremskridt til svampe stamme: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Venter på {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Venter på at blive genfyldt
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Venter på at blive indsprøjtet med svampe sporer
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Fest bord
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Med en {{FURNITURE.CHAR}} til stede, vil dine beboer nyde deres måltid ved bordet"
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Kværn
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,Kværnen maler {{VEGETABLE.WHEAT}} til {{RESOURCE.FLOUR.SACK.NOUN}} så det kan bruges af en {{PROFESSION.CHEF}}.
FURNITURE.FORGE,,Forge,Smedeværksted
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,Her vil en {{PROFESSION.BLACKSMITH}} arbejde med {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} og {{FUEL.SACK}} for at smede våben og værktøj.
FURNITURE.GRAVE,,Grave,Grav
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,En hurtigt lavet grav til afdøde beboer. Kan kun laves på {{MATERIAL_TYPE.EARTH}}.
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Køkkenhylde
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Et område til at opbevarer ingredienser som en {{PROFESSION.CHEF}} kan lave til suppe.
FURNITURE.LANTERN,,Lantern,Lanterne
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,En lanterne laver lys - har på nuværende tidspunkt ikke en effect
FURNITURE.LARGE_TABLE,,Large table,Stort bord
FURNITURE.MUSHROOM_LOG,,Mushroom log,Svampe stamme
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",En stamme der er blevet indsprøjtet med svampe sporer for at producere flere lækre høste af svampe.
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Shock tank
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","Efter indsprøjtningen bliver et {{FURNITURE.MUSHROOM_LOG}} placeret i tanken for at ""shocke"" svampe kolonien og få den til at gro svampe."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Malmbrydningsstation
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,"Rå {{RESOURCE.ORE.UNREFINED.PLURAL}} bliver knust til mere brugbarer størrelser, så det kan bruges i en {{FURNITURE.BLOOMERY_FURNACE}}"
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Søjle
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,En søjle er nødvendig for at kunne stoppe udminet områder fra at kollapse. Et område på 7x7 felter der er minet uden en søjle eller andet støtte vil kollapse.
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarkofag
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Denne fine stenbeholder er det endelige hvilested for en afød beboer.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Serveringsbord
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} bliver placeret her til servering efter bagning i en {{FURNITURE.BAKING_OVEN}}.
FURNITURE.SINGLE_BED,,Bed,Seng
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",En seng er det bedste sted til en komofortabel nattesøvn.
FURNITURE.SINGLE_DOOR,,Door,Dør
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Dørramme
FURNITURE.SMALL_TABLE,,Small table,Lille bord
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Stenhugnings arbejdsbord
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,En {{PROFESSION.STONEMASON}} arbejder her med {{MATERIAL_TYPE.STONE.ADJECTIVE}} ressourcer.
FURNITURE.STOOL,,Stool,Taburet
FURNITURE.WATER_BARREL,,Water barrel,Vand tønde
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","En vandtønde er et sted, hvor dine bosættere kan få en tørstslukkende drink, i stedet for at skulle finde en naturlig vandkilde som floden."
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Træskærende bænk
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,En {{PROFESSION.WOODCUTTER}} arbejder her for at forvandle {{RESOURCE.LOGS.PLURAL}} til {{RESOURCE.PLANKS.PLURAL}}.

GEM.AMETHYST.ADJECTIVE,,Amethyst,Amethyst
GEM.AMETHYST.NOUN,,Amethyst,Amethyst
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,"En violet-hued række kvarts. Gamle mennesker mente, at det på magisk vis kunne beskytte dem mod at blive for fulde. Af denne grund er det ikke særlig populært i dværgkultur."
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolit
GEM.AMMOLITE.NOUN,,Ammolite,Ammolit
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,"En opal-lignende ædelsten, som har en rød til grøn iridescence. Det er kendt som „jagtstenen“ og amuletter lavet af det er beregnet til at bringe held og lykke til en jagt."
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,Akvamarin
GEM.AQUAMARINE.NOUN,,Aquamarine,Akvamarin
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,"En cyan-farvet sort beryl. Nogle mennesker mener, at det giver magisk beskyttelse mod farerne ved havene. Dette skyldes, at en gammel troldmand brugte en kombination af himmel og is magi til at beskytte handelsskibe i mørkets alder."
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbit
GEM.BIXBITE.NOUN,,Bixbite,Bixbit
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.","Også kendt som rød beryl, det er en meget sjælden ædelsten. Det er ofte forvirret for en rødfarvet smaragd."
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinnabar
GEM.CINNABAR.NOUN,,Cinnabar,Cinnabar
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,"En malm af kviksølv, som ofte bruges i smykker på grund af sin dybe røde nuance. Det bruges også til at producere farvestoffet kendt som vermillion."
GEM.CITRINE.ADJECTIVE,,Citrine,Citrin
GEM.CITRINE.NOUN,,Citrine,Citrin
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","Et gulligt udvalg af kvarts. Det er den ædelsten, der ligner guld mest, så de fleste dværge tror citrin er heldig."
GEM.DIAMOND.ADJECTIVE,,Diamond,Diamant
GEM.DIAMOND.NOUN,,Diamond,Diamant
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,Det sværeste kendte materiale og en af de vigtigste af de syv himmelske sten. Diamanter er den mest kondenserede form af det neutrale element kendt som „ånd“ eller „aether“.
GEM.EMERALD.ADJECTIVE,,Emerald,- Smaragd
GEM.EMERALD.NOUN,,Emerald,- Smaragd
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,"Et levende grønt udvalg af beryl. Det menes, at gravering på en smaragd bringer stor ulykke. Smaragder er nært knyttet til elementært liv og tilhørende magi."
GEM.GARNET.ADJECTIVE,,Garnet,Granat
GEM.GARNET.NOUN,,Garnet,Granat
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","Garnets dækker en række mineraler, der anvendes som ædelstene, alle med en dyb rød farve. Nogle granatædelstene er faktisk en kondenseret form for elementær ild."
GEM.JADE.ADJECTIVE,,Jade,Jade
GEM.JADE.NOUN,,Jade,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Et mineral med en lysegrøn farve, der ofte bruges til dekoration. Elvere har også været kendt for at bruge jade til at producere medicin, der kan helbrede sygdomme i tarmen."
GEM.JASPER.ADJECTIVE,,Jasper,Jasper
GEM.JASPER.NOUN,,Jasper,Jasper
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","En urent sort silica, som kan forekomme i flere farver, men mest almindeligt rødt. Jasper er begunstiget som dekorationsmateriale af orker på grund af sin mangfoldighed."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorit
GEM.LABRADORITE.NOUN,,Labradorite,Labradorit
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,"En sten, der skinner med en typisk lyseblå iridescence. Sjældnere prøver kan afspejle en bred vifte af farver."
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapis Lazuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapis Lazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,"En sten med en strålende dyb blå nuance, der bruges som en ædelsten."
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnesit
GEM.MAGNESITE.NOUN,,Magnesite,Magnesit
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,"Et mineral, der kan poleres til perler til brug i smykker. Disse perler kan ved farvet i mange forskellige farver."
GEM.MOONSTONE.ADJECTIVE,,Moonstone,Månesten
GEM.MOONSTONE.NOUN,,Moonstone,Månesten
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Menes at være dannet af måneskin fanget i sten, hvilket gør denne ædelsten til en favorit af elverne."
GEM.MORGANITE.ADJECTIVE,,Morganite,Morganit
GEM.MORGANITE.NOUN,,Morganite,Morganit
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,En rosenfarvet sort beryl. Det blev opkaldt efter at være blevet populariseret af en særligt velhavende købmand i mytens tidsalder.
GEM.OPAL.ADJECTIVE,,Opal,Opal
GEM.OPAL.NOUN,,Opal,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","En form for silica infunderet med havenes magi, hvilket gør dette til en favorit for sømænd og fiskere."
GEM.PAINITE.ADJECTIVE,,Painite,Painit
GEM.PAINITE.NOUN,,Painite,Painit
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,"En meget sjælden ædelsten, der ofte identificeres som en off-color safir. Krystallerne er naturligt sekskantede i form og en favorit af taktikere."
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rhodochrosit
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rhodochrosit
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,"Fundet i varierende nuancer af rød til pink. Det er ikke så svært som de fleste ædelstene, hvilket gør det til et dårligt valg for ringe og andre højtydende smykker."
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,Rock krystal
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Rock krystal
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,"Den reneste form for kvarts. Stenkrystaller har ofte magiske artefakter, da de er en kondenseret form af iselementet."
GEM.RUBY.ADJECTIVE,,Ruby,Ruby
GEM.RUBY.NOUN,,Ruby,Ruby
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","En af de syv himmelske sten, rubiner er elementet af ild kondenseret til en fast form."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,Safir
GEM.SAPPHIRE.NOUN,,Sapphire,Safir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Ofte menes at beskytte bæreren mod dæmonernes opmærksomhed, safirer er meget eftertragtede af magikere til brug i himmel og luftbaseret magi."
GEM.SPINEL.ADJECTIVE,,Spinel,Spinel
GEM.SPINEL.NOUN,,Spinel,Spinel
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Ofte forveksles med himmelske sten som ægte rubiner og safirer, spineller er en mindre form for magisk-infunderet perle, som kan forbindes med et hvilket som helst af elementerne, afhængigt af farve."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,Tanzanit
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanit
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,"En sjælden ædelsten, der kan skifte mellem blå og violet. Det menes at være dannet af den materielle krop af en død gud."
GEM.TOPAZ.ADJECTIVE,,Topaz,Topaz
GEM.TOPAZ.NOUN,,Topaz,Topaz
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Nogle gange forveksles med den mere almindelige {{GEM.CITRINE.NOUN}} perle, topas kan findes i flere farver, men oftest en gulbrun. Det blev først opdaget på en ø, der ikke længere eksisterer."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Turmalin
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalin
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Ofte fundet sammen med {{ORE.CASSITERITE.ADJECTIVE}} malm. Det er noen ganger forbundet med jordens magi.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Turkis
GEM.TURQUOISE.NOUN,,Turquoise,Turkis
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,"Et blågrønt mineral, der ofte bruges i dekorationer. Det menes at bringe held og lykke til bæreren. Det er ofte infunderet med jordens element."

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Indsamler {{targetDescription}}
