KEY,NOTES,ENGLISH,GERMAN
CRAFTING_TYPE.FERMENTING,,Fermenting,
CRAFTING_TYPE.MALTING,,Malting,
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,
CRAFTING_TYPE.MILLING,,Milling,
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,
CRAFTING_TYPE.SMELTING,,Smelting,
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,
CRAFTING_TYPE.WORT_BREWING,,Brewing,

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Von Schädlingen befallen
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,"Diese Pflanze ist von einer hohen Anzahl an Blattläusen und anderen Insekten befallen, die von einem {{PROFESSION.FARMER}} entfernt werden müssen bevor sie wieder gedeihen kann. Die Pflanze kann sterben wenn die Schädlinge nicht rechtzeitig entfernt werden!"
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}}-Pflanze
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Reifungsprozess: {{progress}} %

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Fallende Trümmer
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Verdurstet
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Erschöpfung
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Lebensmittelvergiftung
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Verhungert
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Mysteriöse Umstände

EARTH.DIRT,,Dirt,Erde
EARTH.GRASS,,Grass,Gras

FLOOR.COBBLESTONE,,Cobblestone,Pflasterstein
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Boden
FLOOR.GRASS,,Grass,Gras
FLOOR.GRAVEL,,Gravel,Kies
FLOOR.RIVER,,River,Fluss
FLOOR.ROUGH_STONE,,Rough stone floor,Grober Steinboden
FLOOR.STONE_SLAB,,Stone slab,Steinplatte
FLOOR.TILLED_EARTH,,Tilled earth,Ackerboden
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Nicht erkundet

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Steinbrot
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Dies ist ein berüchtigt zähes Brot, das so hart und ungenießbar ist, dass es eine sehr lange Zeit braucht bis es schimmelt. Der menschliche Forscher J.A. Moffatt beschrieb den Verzehr einmal damit “Kieselsteine zu kauen, die aus einem Sumpf stammen”. Glücklicherweise scheinen die meisten Zwerge zufrieden damit zu sein."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Weizen

FUEL.SACK,,Fuel,Brennstoff
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Brennstoff wird für die Herstellung von Metall benötigt, sowohl von dem {{FURNITURE.BLOOMERY_FURNACE}} als auch der {{FURNITURE.FORGE}}."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Bäckerarbeitsplatte
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,"Ein {{PROFESSION.CHEF}} arbeitet hier, um {{RESOURCE.FLOUR.SACK.PLURAL}} zu {{INGREDIENT.DOUGH}} zu verarbeiten."
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Backofen
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Ein {{PROFESSION.CHEF}} backt hier Laibe aus {{INGREDIENT.DOUGH}}.
FURNITURE.BEER_TAPPER,,Beer tapper,
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Rennofen
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,"Ein {{PROFESSION.BLACKSMITH}} benutzt diese handbetriebene Schmiede, um {{RESOURCE.ORE.CRUSHED.PLURAL}} und {{FUEL.SACK}} zu {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} zu verarbeiten."
FURNITURE.BREW_KETTLE,,Brew kettle,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Schreinerstation
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","Die meisten Gegenstände und Werkzeuge aus Holz werden hier hergestellt, wie {{PRODUCT.BUCKET.PLURAL}} und {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kessel
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Ein Kessel wird dazu benutzt eine große Menge Suppe für hungrige Siedler herzustellen. Die Suppe wird in einer {{ROOMS.KITCHEN}} zubereitet ehe sie zum Servieren in die {{ROOMS.FEASTING_HALL}} gebracht wird.
FURNITURE.CHAIR,,Chair,Stuhl
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Kohlenmeiler
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Dies ist ein Haufen {{RESOURCE.LOGS.PLURAL}} bedeckt mit {{MATERIAL_TYPE.EARTH}}, der langsam abgebrannt wird um {{ORE.CHARCOAL.NOUN}} zu produzieren, welche dann als {{FUEL.SACK}} dient."
FURNITURE.COKE_OVEN,,Coke oven,Kokerei
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,"Eine Kokerei wandelt {{ORE.BITUMINOUS_COAL.NOUN}} in {{ORE.COKE.NOUN}} um, so dass es als {{FUEL.SACK}} benutzt werden kann."
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{furnitureType.noun}} aus {{materialType}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Fortschritt bis zur Fertigstellung: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Fortschritt bis zur kompletten Beimpfung: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,Fortschritt bis zum Pilzstammschock: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Wartet auf {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Wartet darauf gefüllt zu werden
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Wartet darauf mit Pilzkultur injiziert zu werden
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Festtafel
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",Mit platzierten {{FURNITURE.CHAIR}} können deine Siedler ihre Mahlzeiten an diesem Tisch genießen.
FURNITURE.FERMENTATION_TANK,,Fermentation tank,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Getreidemühle
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,“Die Getreidemühle mahlt {{VEGETABLE.WHEAT}} zu {{RESOURCE.FLOUR.SACK.NOUN}}
FURNITURE.FORGE,,Forge,Schmiede
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,"Hier arbeitet ein {{PROFESSION.BLACKSMITH}} mit {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} und {{FUEL.SACK}}, um Gegenstände und Waffen herzustellen."
FURNITURE.GRAVE,,Grave,Grab
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,Ein rasch ausgehobenes Grab für verstorbene Siedler. Es kann nur in {{MATERIAL_TYPE.EARTH}} angelegt werden.
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Küchentisch
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,"Ein Bereich, um Zutaten zu verstauen, die von einem {{PROFESSION.CHEF}} zum Kochen von Suppe verwendet werden können."
FURNITURE.LANTERN,,Lantern,Laterne
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,Eine Laterne verbreitet Licht – hat momentan noch keinen Effekt im Spiel.
FURNITURE.LARGE_TABLE,,Large table,Esstisch
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ",
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,Pilzstamm
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.","Ein Holzstamm, der mit {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} injiziert werden kann, um mehrere Ernten an leckeren, saftigen Pilzen hervorzubringen."
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Schocktank
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","Ein {{FURNITURE.MUSHROOM_LOG}} wird nach der Beimpfung in diesen Wassertank gelegt, um die Pilzkultur zu “schocken” und somit Pilzwachstum zu starten."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Erzzerkleinerungsstation
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,"Pures {{RESOURCE.ORE.UNREFINED.PLURAL}} wird zu einer mehr verarbeitbaren Größe zerkleinert, so dass es in einer {{FURNITURE.SMELTER}} genutzt werden kann."
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Stützpfeiler
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,"Ein Stützpfeiler wird benötigt, um große ausgehobene Bereiche am Einstürzen zu hindern. Ein ausgegrabenes Gebiet von 7x7 Feldern ohne Pfeiler oder anderen Halt stürzt irgendwann ein."
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarkophag
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Dieser fein gearbeitete Steinbehälter ist die letzte Ruhestätte eines verstorbenen Siedlers.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Serviertisch
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,"Nachdem {{PRODUCT.BREAD.LOAF.PLURAL}} im {{FURNITURE.BAKING_OVEN}} gebacken worden sind, werden sie hier zum Servieren platziert."
FURNITURE.SINGLE_BED,,Bed,Bett
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",Ein Bett ist der beste Platz für eine gemütliche Nachtruhe.
FURNITURE.SINGLE_DOOR,,Door,Tür
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Türrahmen
FURNITURE.SMALL_TABLE,,Small table,Tisch
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Steinmetzwerkbank
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,Ein {{PROFESSION.STONEMASON}} arbeitet hier mit {{MATERIAL_TYPE.STONE.ADJECTIVE}} Materialien.
FURNITURE.STOOL,,Stool,Hocker
FURNITURE.WATER_BARREL,,Water barrel,Wasserfass
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.",“Bei einem Wasserfass können deine Siedler ihren Durst löschen statt eine natürliche Wasserquelle wie einen Fluss suchen zu müssen.“
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Holzfällerwerkbank
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,Ein {{PROFESSION.WOODCUTTER}} verarbeitet hier {{RESOURCE.LOGS.PLURAL}} zu {{RESOURCE.PLANKS.PLURAL}}.

GEM.AMETHYST.ADJECTIVE,,Amethyst,Amethyst
GEM.AMETHYST.NOUN,,Amethyst,Amethyst
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,"Eine violett gefärbte Quarzvariante. Menschen glaubten damals, dass es sie magisch davor schützen würde zu betrunken zu werden. Aus diesem Grund ist der Stein bei Zwergen nicht sehr beliebt."
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolit
GEM.AMMOLITE.NOUN,,Ammolite,Ammolit
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,"Ein opal-ähnlicher Edelstein, der einen roten bis grünen Schimmer hat. Er ist als Jagdstein bekannt und daraus hergestellte Amulette sollen bei der Jagd Glück bringen."
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,Aquamarin
GEM.AQUAMARINE.NOUN,,Aquamarine,Aquamarin
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,"Eine cyanfarbene Beryllvariante. Manche Menschen glauben, dass er einen magischen Schutz gegen die Gefahren der See bietet. Dies liegt an einem uralten Magier, der während des Zeitalters der Dunkelheit eine Kombination aus Himmels- und Eismagie nutzte, um Handelsschiffe zu schützen."
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbit
GEM.BIXBITE.NOUN,,Bixbite,Bixbit
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.","Auch als roter Beryll bekannt, ist er ein sehr seltener Edelstein. Er wird oft mit einem roten Smaragd verwechselt."
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinnabarit
GEM.CINNABAR.NOUN,,Cinnabar,Cinnabarit
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,"Ein Quecksilbererz, das wegen seiner tiefroten Farbe oft in Schmuckstücken verwendet wird. Es wird auch zur Herstellung des als Zinnoberrot bekannten Farbstoffes verwendet."
GEM.CITRINE.ADJECTIVE,,Citrine,Zitrin
GEM.CITRINE.NOUN,,Citrine,Zitrin
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","Eine gelbliche Quarzvariante. Er ist der Edelstein, der in seiner Farbe dem Gold am ähnlichsten ist, weswegen die meisten Zwerge Zitrin als glücksbringend ansehen."
GEM.DIAMOND.ADJECTIVE,,Diamond,Diamant
GEM.DIAMOND.NOUN,,Diamond,Diamant
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,"Das härteste bekannte Material und einer der wichtigsten sieben himmlischen Steine. Diamanten sind die konzentrierteste Form des neutralen Elements, bekannt als 'Geist' oder 'Äther'."
GEM.EMERALD.ADJECTIVE,,Emerald,Smaragd
GEM.EMERALD.NOUN,,Emerald,Smaragd
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,"Eine leuchtend grüne Beryllvariante. Man glaubt, dass Gravuren auf einem Smaragd großes Unglück bringen. Smaragde sind eng mit dem Elementarleben und der damit verbundenen Magie verwandt."
GEM.GARNET.ADJECTIVE,,Garnet,Granat
GEM.GARNET.NOUN,,Garnet,Granat
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","Granate umfassen eine Vielzahl an Mineralien, die als Edelsteine verwendet werden, alle mit einer tiefroten Farbe. Einige Granate sind tatsächlich die verdichtete Form von elementarem Feuer."
GEM.JADE.ADJECTIVE,,Jade,Jade
GEM.JADE.NOUN,,Jade,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Ein Mineral mit einer hellgrünen Farbe, das oft zur Dekoration verwendet wird. Außerdem heißt es, dass Elfen aus Jade Medizin herstellen, die Darmbeschwerden heilen kann."
GEM.JASPER.ADJECTIVE,,Jasper,Jaspis
GEM.JASPER.NOUN,,Jasper,Jaspis
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","Eine unreine Form von Quarz, die in verschiedenen meist roten Farben vorkommen kann. Jaspis wird aufgrund seiner Vielfalt als Dekorationsmaterial geschätzt."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorit
GEM.LABRADORITE.NOUN,,Labradorite,Labradorit
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,"Ein Gestein, das normalerweise hellblau schimmert. Seltenere Exemplare können eine größere Palette an Farben aufweisen."
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapislazuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapislazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,"Ein Gestein mit einem brillianten, tiefblauen Farbton. Er wird oft als Schmuckstück verwendet."
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnesit
GEM.MAGNESITE.NOUN,,Magnesite,Magnesit
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,"Ein Mineral, das zu Perlen poliert werden kann, um in Schmuckstücken verwendet werden zu können. Diese Perlen können in vielen verschiedenen Farben eingefärbt werden."
GEM.MOONSTONE.ADJECTIVE,,Moonstone,Mondstein
GEM.MOONSTONE.NOUN,,Moonstone,Mondstein
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Er soll durch im Stein eingefangenes Mondlicht entstanden sein, was diesen Edelstein zu einem Favoriten der Elfen macht."
GEM.MORGANITE.ADJECTIVE,,Morganite,Morganit
GEM.MORGANITE.NOUN,,Morganite,Morganit
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,"Eine rosafarbene Beryllsorte. Sie wurde nach einem Kaufmann benannt, der sie im Zeitalter der Mythen weit verbreitet hat."
GEM.OPAL.ADJECTIVE,,Opal,Opal
GEM.OPAL.NOUN,,Opal,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","Eine Form von Kieselsäure, infundiert mit der Magie der Ozeane, die es zu einem Liebling von Seeleuten und Fischern macht."
GEM.PAINITE.ADJECTIVE,,Painite,Painit
GEM.PAINITE.NOUN,,Painite,Painit
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,"Ein sehr seltener Edelstein, der oft als verfärbter Saphir identifiziert wird. Die Kristalle sind von Natur aus sechseckig und ein Favorit der Taktiker."
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rhodochrosit
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rhodochrosit
