KEY,NOTES,ENGLISH,JAPANESE
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,死亡した入植者のための急いで掘られた墓で、{{MATERIAL_TYPE.EARTH}} にのみ置くことができます。
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,キッチンワークトップ
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,スープを作るために {{PROFESSION.CHEF}} の食材を貯蔵するエリア。
FURNITURE.LANTERN,,Lantern,ランタン
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,ランタンは光を提供します。これは現在、ゲーム内の効果はありません。
FURNITURE.LARGE_TABLE,,Large table,大きなテーブル
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ",
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,マッシュルームログ
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",おいしいジューシーなキノコのいくつかの収穫を生産するために {{成分.キノコ.スポーン.PLURAL}} を注入されたログ。
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,ショックタンク
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",接種後、このタンクに {{FURNITURE.MUSHROOM_LOG}} を置き、キノコのコロニーを「衝撃」させ、キノコ栽培を促します。
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,鉱石破砕駅
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,生の {{リソース.ORE.REFINED.PLURAL}} は、{{FURNITURE.BLOOMERY_FURNACE} で使用できるように、より実行可能なサイズに粉砕されます。
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,柱
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,大きな掘り出し出しエリアが崩壊するのを止めるには、柱が必要です。 柱やその他の支柱なしで採掘された7x7タイルの面積は、最終的に崩壊するでしょう。
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,石棺だ
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,この精巧な石容器は、故人の入植者の最後の休息地です。
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,サービングテーブル
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{{製品.パン.ローフ.多数}} は、{{食品.パン.ローフ.多数}} で焼いた後に提供するためにここに置かれます。
FURNITURE.SINGLE_BED,,Bed,ベッドです
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",ベッドは快適な夜の休息に最適な場所です。
FURNITURE.SINGLE_DOOR,,Door,ドア
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,ドアフレーム
FURNITURE.SMALL_TABLE,,Small table,小さなテーブル
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,ストーンメイソンワークベンチ
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{プロフェッショナル.ストーンメイソン}} は、{{マテリアル_タイプ.ストーン.調整可能}} のリソースで動作します。
FURNITURE.STOOL,,Stool,スツール
FURNITURE.WATER_BARREL,,Water barrel,水バレル
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.",水筒は、川のような天然の水源を見つけるのではなく、あなたの入植者が喉の渇きを飲むための場所です。
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,木材カッティングベンチ
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,{{プロフェッショナル.ウッドカッター}} は {{リソース.LOGS.PLURAL}} を {リソース.PLANKS.PLURAL} に変えるためにここで働きます。

GEM.AMETHYST.ADJECTIVE,,Amethyst,アメジスト
GEM.AMETHYST.NOUN,,Amethyst,アメジスト
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,紫色の色の様々な石英。 古代の人間は、それが魔法のように酔ってからそれらを守ることができると信じていました。 このため、ドワーフ文化ではあまり人気がありません。
GEM.AMMOLITE.ADJECTIVE,,Ammolite,アンモライト
GEM.AMMOLITE.NOUN,,Ammolite,アンモライト
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,赤から緑の虹色のオパールのような宝石。 それは「狩猟石」として知られており、そこから作られたお守りは、狩りに幸運をもたらすためのものです。
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,アクアマリン
GEM.AQUAMARINE.NOUN,,Aquamarine,アクアマリン
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,シアン色のベリル。 一部の人間は、それが海の危険に対する魔法の保護を提供すると信じています。 これは、古代の魔道師が闇の時代に貿易船を保護するために空と氷の魔法を組み合わせて使用したためです。
GEM.BIXBITE.ADJECTIVE,,Bixbite,ビックスバイト
GEM.BIXBITE.NOUN,,Bixbite,ビックスバイト
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",赤ベリルとも呼ばれ、非常に希少な宝石です。 赤色のエメラルドと混同されることが多い。
GEM.CINNABAR.ADJECTIVE,,Cinnabar,シナバー
GEM.CINNABAR.NOUN,,Cinnabar,シナバー
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,水銀の鉱石で、ディープレッドの色合いの宝飾品によく使われます。 また、朱色と呼ばれる染料を製造するために使用されます。
GEM.CITRINE.ADJECTIVE,,Citrine,シトリン
GEM.CITRINE.NOUN,,Citrine,シトリン
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",黄色がかった様々な石英。 宝石は金と最も似ているので、ほとんどのドワーフはシトリンが幸運だと思っています。
GEM.DIAMOND.ADJECTIVE,,Diamond,ダイアモンド
GEM.DIAMOND.NOUN,,Diamond,ダイアモンド
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,最も難しい既知の材料と7つの天の石の中で最も重要なものの一つ。 ダイヤモンドは、「精神」または「エーテル」と呼ばれる中性元素の最も凝縮された形態です。
GEM.EMERALD.ADJECTIVE,,Emerald,エメラルド
GEM.EMERALD.NOUN,,Emerald,エメラルド
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,鮮やかな緑のベリル。 エメラルドの彫刻は大きな不幸をもたらすと考えられています。 エメラルドは、元素の生命と関連する魔法と密接に関連しています。
GEM.GARNET.ADJECTIVE,,Garnet,ガーネット
GEM.GARNET.NOUN,,Garnet,ガーネット
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.",ガーネットは、宝石として使用される様々なミネラルをカバーし、すべて深い赤色です。 いくつかのガーネットの宝石は、実際には元素の火の凝縮形です。
GEM.JADE.ADJECTIVE,,Jade,ジェイド
GEM.JADE.NOUN,,Jade,ジェイド
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",多くの場合、装飾のために使用される明るい緑色の鉱物。 また、エルフはヒスイを使って腸の病気を治すことができる薬を作ることも知られています。
GEM.JASPER.ADJECTIVE,,Jasper,ジャスパー
GEM.JASPER.NOUN,,Jasper,ジャスパー
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.",シリカの不純な品種で、いくつかの色がありますが、最も一般的に赤色です。 ジャスパーは、その多様性のためにオークによって装飾材料として好まれている。
GEM.LABRADORITE.ADJECTIVE,,Labradorite,ラブラドライト
GEM.LABRADORITE.NOUN,,Labradorite,ラブラドライト
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,典型的には淡い青色の虹色に輝く岩。 まれな標本は、幅広い色を反映することができます。
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,ラピスラズリ
GEM.LAPIS.NOUN,,Lapis lazuli,ラピスラズリ
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,貴石として使用される華麗な深みのある青色の岩石。
GEM.MAGNESITE.ADJECTIVE,,Magnesite,マグネサイト
GEM.MAGNESITE.NOUN,,Magnesite,マグネサイト
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,ジュエリーに使用するためにビーズに磨くことができる鉱物。 これらのビーズは、多くの異なる色に染色することができます。
GEM.MOONSTONE.ADJECTIVE,,Moonstone,ムーンストーン
GEM.MOONSTONE.NOUN,,Moonstone,ムーンストーン
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",岩に捕らえられた月光によって形成されると思われます。この宝石はエルフのお気に入りです。
GEM.MORGANITE.ADJECTIVE,,Morganite,モルガナイト
GEM.MORGANITE.NOUN,,Morganite,モルガナイト
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,バラ色のベリル。 それは神話の時代に特に裕福な商人によって普及されたことにちなんで命名されました。
GEM.OPAL.ADJECTIVE,,Opal,オパール
GEM.OPAL.NOUN,,Opal,オパール
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.",この船員や漁師のお気に入りになり、海洋の魔法を注入シリカの形態。
GEM.PAINITE.ADJECTIVE,,Painite,ペニテ
GEM.PAINITE.NOUN,,Painite,ペニテ
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,非常に希少な宝石で、しばしばオフカラーのサファイアとして識別されます。 結晶は自然に六角形で、戦術家の好評です。
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,ロードクロサイト
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,ロードクロサイト
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,赤からピンクのさまざまな色合いで見つかりました。 ほとんどの宝石ほど難しいことではなく、リングやその他のインパクトのあるジュエリーには貧弱な選択肢です。
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,水晶体
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,水晶体
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,最も純粋な形の石英。 岩の結晶は、氷の要素の凝縮した形であるため、しばしば魔法のアーティファクトで特徴付けられます。
GEM.RUBY.ADJECTIVE,,Ruby,ルビー
GEM.RUBY.NOUN,,Ruby,ルビー
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",7つの天石の1つ、ルビーは固体の形に凝縮された火災の要素です。
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,サファイア
GEM.SAPPHIRE.NOUN,,Sapphire,サファイア
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.",多くの場合、サファイアは、魔術師が空や空気ベースの魔法で使用するために多くの求められているデーモンからの注意から着用者を守ると考えられています。
GEM.SPINEL.ADJECTIVE,,Spinel,スピネル
GEM.SPINEL.NOUN,,Spinel,スピネル
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.",多くの場合、真のルビーやサファイアのような天の石と混同され、スピネルは色によって要素のいずれかに関連付けることができる魔法注入された宝石の小さな形です。
GEM.TANZANITE.ADJECTIVE,,Tanzanite,タンザナイト
GEM.TANZANITE.NOUN,,Tanzanite,タンザナイト
