KEY,NOTES,ENGLISH,KOREAN
CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}} 의 건설
CONSTRUCTION.ITEM_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{quantity}} of {{itemDescription}} allocated,{{{항목 설명}} 의 {{quantity}} 이 (가) 할당되었습니다.
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,다른 항목 제거
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,이 가구의 건설 지역에서 제거해야 할 품목이 있습니다.
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,{{재료 유형}} {{항목 설명.복수형}} 을 (를) 사용할 수 있을 때까지 기다리는 중입니다.
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,건설 중
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,리소스가 도착하기를 기다리는 중

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{재료 설명}} 빵
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} 과 {{materialTwo}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,{{재료 설명}} 수프

CRAFTING_TYPE.BAKING,,Baking,
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,
CRAFTING_TYPE.CARPENTRY,,Carpentry,
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,
CRAFTING_TYPE.FERMENTING,,Fermenting,
CRAFTING_TYPE.MALTING,,Malting,
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,
CRAFTING_TYPE.MILLING,,Milling,
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,
CRAFTING_TYPE.SMELTING,,Smelting,
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,
CRAFTING_TYPE.WORT_BREWING,,Brewing,

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,해충에 의해 고통
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,"이 작물은 지나치게 많은 진딧물과 다른 곤충에 시달렸으며, 다시 번성하기 전에 {{PROFESSION.FARMER}} 에 의해 제거되어야 합니다. 시간에 해충을 제거하지 않는이 작물이 죽는 것을 의미 할 수있다!"
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}} 식물
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,수확을 향한 진전: {{progress}}%

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,떨어지는 파편
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,탈수
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,피로
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,식중독
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,기아
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,신비한 상황

EARTH.DIRT,,Dirt,먼지
EARTH.GRASS,,Grass,잔디

FLOOR.COBBLESTONE,,Cobblestone,조약돌
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,먼지
FLOOR.GRASS,,Grass,잔디
FLOOR.GRAVEL,,Gravel,자갈
FLOOR.RIVER,,River,강
FLOOR.ROUGH_STONE,,Rough stone floor,거친 돌 바닥
FLOOR.STONE_SLAB,,Stone slab,석판
FLOOR.TILLED_EARTH,,Tilled earth,경작 지구
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,미개척

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,록브레드
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,이것은 매우 단단하고 실질적으로 먹을 수없는 불명예 힘든 빵입니다 곰팡이를 설정하는 데 매우 오랜 시간이 걸립니다. 인간 탐험가 J. A. Moffatt는 그것을 “늪에서 준설된 자갈을 씹는 것과 비슷합니다”라고 묘사했습니다. 다행히 대부분의 드워프는 마음에 들지 않는 것 같습니다.
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,밀

FUEL.SACK,,Fuel,연료
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.",금속 생산에는 {{FURNITURE.BLOOMERY_FURNACE}} 와 {{FURNITURE.FORGE}} 모두 연료가 필요합니다.

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,베이커의 작업대
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,{{PROFESSION.CHEF}} 이 (가) {{RESOURCE.FLOUR.SACK.PLURAL}} 을 (를) {{INGREDIENT.DOUGH}} 으로 바꾸려고 노력하고 있습니다.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,베이커의 오븐
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,{{PROFESSION.CHEF}} 는 준비된 {{INGREDIENT.DOUGH}} 을 사용하여 여기에 케이크를 굽습니다.
FURNITURE.BEER_TAPPER,,Beer tapper,
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,부루마 용광로
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,{{PROFESSION.BLACKSMITH}} 는 이 수동식 용광로를 사용하여 {{RESOURCE.ORE.CRUSHED.PLURAL}} 과 {{FUEL.SACK}} 을 {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} 으로 전환합니다.
FURNITURE.BREW_KETTLE,,Brew kettle,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,목공 작업대
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.",대부분의 목재 항목과 도구는 여기서 생산됩니다. 예를 들어 {{PRODUCT.BUCKET.PLURAL}} 및 {{PRODUCT.BARREL.PLURAL}}.
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,가마솥
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,가마솥은 배고픈 정착민에게 다량의 수프를 제공하는 데 사용됩니다. 수프는 {{ROOMS.KITCHEN}} 에서 생산되기 전에 봉사하기 위해 {{ROOMS.FEASTING_HALL}} 으로 옮겨집니다.
FURNITURE.CHAIR,,Chair,의자
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,차콜 클램프
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.",이것은 {{RESOURCE.LOGS.PLURAL}} 으로 덮여 있고 {{MATERIAL_TYPE.EARTH}} 을 (를) 천천히 태워서 {{ORE.CHARCOAL.NOUN}} 을 (를) 만들어 {{FUEL.SACK}} 로 사용할 수 있습니다.
FURNITURE.COKE_OVEN,,Coke oven,코크스 오븐
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,코크스 오븐은 {{ORE.BITUMINOUS_COAL.NOUN}} 를 {{ORE.COKE.NOUN}} 로 변환하여 {{FUEL.SACK}} 로 사용할 수 있습니다.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,완료로 진행: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,무해한 작업을 완료하기 위한 진행: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,버섯 로그 충격 진행: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},{{항목 유형.명사}} 을 (를) 기다리고 있습니다.
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,채워질 때까지 기다리는 중
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,버섯 산란을 주입하기를 기다리고 있습니다.
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,잔치 테이블
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","{{FURNITURE.CHAIR}} 이 자리에 있으면, 이주민들은 이 테이블에서 식사를 즐길 수 있습니다."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,그리스트밀
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,분쇄기는 {{VEGETABLE.WHEAT}} 을 (를) {{RESOURCE.FLOUR.SACK.NOUN}} 로 갈아서 {{PROFESSION.CHEF}} 가 사용할 수 있도록 합니다.
FURNITURE.FORGE,,Forge,대장간
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,여기서 {{PROFESSION.BLACKSMITH}} {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} 및 {{FUEL.SACK}} 와 함께 아이템과 무기를 제작합니다.
FURNITURE.GRAVE,,Grave,무덤
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,{{MATERIAL_TYPE.EARTH}} 에만 배치될 수 있는 사망자를 위한 급히 파낸 무덤입니다.
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,주방 작업대
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,수프를 요리하기 위해 {{PROFESSION.CHEF}} 의 재료를 저장할 영역.
FURNITURE.LANTERN,,Lantern,랜턴
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,랜턴은 빛을 제공합니다. 현재 게임 내 효과는 없습니다.
FURNITURE.LARGE_TABLE,,Large table,대형 테이블
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ",
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,머쉬룸 로그
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",{{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} 을 주입하여 맛있고 육즙이 많은 버섯을 여러 번 생산합니다.
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,충격 탱크
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","무큐레이션 후, {{FURNITURE.MUSHROOM_LOG}} 을 (를) 이 탱크에 넣어 버섯 식민지에 충격을 주고 버섯을 재배하도록 격려합니다."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,광석 분쇄 역
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,원료 {{자원.Ore.정제되지 않은 .복수형}} 원료는 {{RESOURCE.ORE.UNREFINED.PLURAL}} 에서 사용할 수 있도록 좀 더 작업 가능한 크기로 분쇄됩니다.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,기둥
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,큰 채굴 지역이 붕괴되는 것을 막기 위해 기둥이 필요합니다. 기둥이나 다른 지지대없이 채굴 된 7x7 타일 영역은 결국 붕괴됩니다.
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,석관
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,이 정교한 돌 용기는 사망 한 정착민의 마지막 휴식 장소입니다.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,서빙 테이블
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} 은 (는) {{FURNITURE.BAKING_OVEN}} 에서 구운 후 서빙하기 위해 여기에 놓입니다.
FURNITURE.SINGLE_BED,,Bed,침대
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",침대는 편안한 야간 휴식을위한 최고의 장소입니다.
FURNITURE.SINGLE_DOOR,,Door,문
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,도어 프레임
FURNITURE.SMALL_TABLE,,Small table,작은 테이블
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,스톤메이슨 워크벤치
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{PROFESSION.STONEMASON}} 은 {{MATERIAL_TYPE.STONE.ADJECTIVE}} 리소스와 함께 작동합니다.
FURNITURE.STOOL,,Stool,의자
FURNITURE.WATER_BARREL,,Water barrel,물 배럴
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.",물 배럴은 이주민들이 강과 같은 천연 수원을 찾지 않고 갈증을 식힐 수있는 장소입니다.
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,목판용 벤치
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,"{{전문 목재커터}} 이 (가) {{자원.로그, 복수형}} 을 (를) {{PROFESSION.WOODCUTTER}} 으로 전환하기 위해 여기서 작동합니다."

GEM.AMETHYST.ADJECTIVE,,Amethyst,자수정
GEM.AMETHYST.NOUN,,Amethyst,자수정
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,바이올렛 색조의 다양한 석영. 고대 인간은 너무 술에 취해지지 않도록 마술처럼 보호 할 수 있다고 믿었습니다. 이런 이유로 그것은 드워프 문화에서별로 인기가 없습니다.
GEM.AMMOLITE.ADJECTIVE,,Ammolite,암몰라이트
GEM.AMMOLITE.NOUN,,Ammolite,암몰라이트
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,"빨간색에서 초록색 무지개 빛깔의 오팔과 같은 원석. “사냥용 돌”이라고 불리며, 부적으로 만든 부적은 사냥에 행운을 가져다 주기위한 것입니다."
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,아쿠아마린
GEM.AQUAMARINE.NOUN,,Aquamarine,아쿠아마린
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,시안 컬러의 다양한 베릴. 어떤 인간은 바다의 위험에 대한 마법의 보호를 제공한다고 생각합니다. 이것은 고대 마법사가 어둠의 시대에 무역선을 보호하기 위해 하늘과 얼음 마법을 조합하여 사용했기 때문입니다.
GEM.BIXBITE.ADJECTIVE,,Bixbite,빅바이트
GEM.BIXBITE.NOUN,,Bixbite,빅바이트
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",레드 베릴이라고도 불리며 매우 드문 보석입니다. 그것은 종종 붉은 색 에메랄드에 대한 혼란.
GEM.CINNABAR.ADJECTIVE,,Cinnabar,신나바
GEM.CINNABAR.NOUN,,Cinnabar,신나바
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,깊은 붉은 색조로 인해 보석에 자주 사용되는 수은의 광석. 또한 주홍색으로 알려진 염료를 생산하는 데 사용됩니다.
GEM.CITRINE.ADJECTIVE,,Citrine,황수정
GEM.CITRINE.NOUN,,Citrine,황수정
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",황색을 띤 다양한 석영. 금색과 색상이 가장 유사한 보석이기 때문에 대부분의 드워프는 황수정 운이 좋다고 생각합니다.
GEM.DIAMOND.ADJECTIVE,,Diamond,다이아몬드
GEM.DIAMOND.NOUN,,Diamond,다이아몬드
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,가장 어려운 알려진 물질이며 7 개의 천상의 돌 중 가장 중요한 것 중 하나입니다. 다이아몬드는 “정신” 또는 “오드”로 알려진 중립 원소의 가장 응축된 형태입니다.
GEM.EMERALD.ADJECTIVE,,Emerald,에메랄드
GEM.EMERALD.NOUN,,Emerald,에메랄드
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,생동감 넘치는 녹색의 다양한 베릴. 에메랄드 조각은 큰 불행을 가져 오는 것으로 생각됩니다. 에메랄드는 원소 생명과 관련된 마법과 밀접한 관련이 있습니다.
GEM.GARNET.ADJECTIVE,,Garnet,가닛
GEM.GARNET.NOUN,,Garnet,가닛
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","가넷은 보석으로 사용되는 다양한 미네랄을 포함하고 있으며, 모두 깊은 붉은 색을 띠고 있습니다. 일부 가닛 보석은 실제로 원소 불의 응축 된 형태입니다."
GEM.JADE.ADJECTIVE,,Jade,제이드
GEM.JADE.NOUN,,Jade,제이드
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",밝은 녹색 색상의 미네랄 종종 장식에 사용됩니다. 또한 엘프는 창자의 질병을 치료할 수 있는 약을 생산하기 위해 옥을 사용하는 것으로 알려져 있습니다.
GEM.JASPER.ADJECTIVE,,Jasper,재스퍼
GEM.JASPER.NOUN,,Jasper,재스퍼
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.",여러 가지 색상으로 발생할 수 있지만 가장 일반적으로 빨간색의 불순한 다양한 실리카. 재스퍼는 다양한 오크의 장식 재료로 선호됩니다.
GEM.LABRADORITE.ADJECTIVE,,Labradorite,라브라도라이트
GEM.LABRADORITE.NOUN,,Labradorite,라브라도라이트
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,일반적으로 하늘색 무지개 빛깔로 빛나는 바위입니다. 희귀한 표본은 다양한 색상을 반영할 수 있습니다.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,라피스 라줄리
GEM.LAPIS.NOUN,,Lapis lazuli,라피스 라줄리
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,귀중한 돌로 사용되는 선명한 딥 블루 컬러의 바위입니다.
GEM.MAGNESITE.ADJECTIVE,,Magnesite,마그네사이트
GEM.MAGNESITE.NOUN,,Magnesite,마그네사이트
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,보석에 사용하기 위해 구슬로 연마 할 수있는 미네랄. 이 구슬은 다양한 색상으로 염색 할 수 있습니다.
GEM.MOONSTONE.ADJECTIVE,,Moonstone,월장석
GEM.MOONSTONE.NOUN,,Moonstone,월장석
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",암석 속에 담겨 있는 달빛에 의해 형성된 것으로 생각되는 이 보석은 엘프에게 가장 사랑받는 보석입니다.
GEM.MORGANITE.ADJECTIVE,,Morganite,모거나이트
GEM.MORGANITE.NOUN,,Morganite,모거나이트
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,로즈 컬러의 다양한 베릴. 그것은 신화의 시대에 특히 부유 한 상인에 의해 대중화 된 이름을 따서 명명되었습니다.
GEM.OPAL.ADJECTIVE,,Opal,오팔
GEM.OPAL.NOUN,,Opal,오팔
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","바다의 마법이 주입된 실리카로, 선원들과 어부들에게 사랑받고 있습니다."
GEM.PAINITE.ADJECTIVE,,Painite,파이니나이트
GEM.PAINITE.NOUN,,Painite,파이니나이트
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,종종 오프 컬러 사파이어로 식별되는 매우 희귀 한 보석. 크리스탈은 자연적으로 육각형이며 촉술가들의 사랑을 받고 있습니다.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,로도크로사이트
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,로도크로사이트
