KEY,NOTES,ENGLISH,ITALIAN
CONSTRUCTION.ITEM_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{quantity}} of {{itemDescription}} allocated,Assegnazione di {{itemDescription}}: {{quantity}}
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Sta rimuovendo altri oggetti
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,Ci sono oggetti che devono essere rimossi dall'area di costruzione di questo mobile prima che possa progredire.
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,In attesa di maggiore disponibilità di {{itemDescription.plural}} {{materialType}}
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,In costruzione
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,In attesa dell'arrivo delle risorse

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}} pane
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} e {{materialTwo}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,Zuppa ({{materialDescription}})

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Infestato dai parassiti
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Questa coltura è stata afflitta da un numero eccessivo di afidi e altri insetti che devono essere rimossi da un {{PROFESSION.FARMER}} prima che possa prosperare nuovamente. Non rimuovere i parassiti in tempo potrebbe significare che questo raccolto muore!
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Progresso della raccolta: {{progress}}%

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Detriti che cadono
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Disidratazione
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Stanchezza
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Intossicazione alimentare
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,La fame
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Circostanze misteriose

EARTH.DIRT,,Dirt,Sporcizia
EARTH.GRASS,,Grass,Erba

FLOOR.COBBLESTONE,,Cobblestone,Ciottoli
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Terra
FLOOR.GRASS,,Grass,Erba
FLOOR.GRAVEL,,Gravel,Ghiaia
FLOOR.RIVER,,River,Fiume
FLOOR.ROUGH_STONE,,Rough stone floor,Pietra grezza
FLOOR.STONE_SLAB,,Stone slab,Lastre di pietra
FLOOR.TILLED_EARTH,,Tilled earth,Terreno arato
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Inesplorato

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Pane di roccia
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Si tratta di un pane infame duro, così duro e praticamente immangiabile che ci vuole molto tempo per diventare ammuffito. L'esploratore umano J. A. Moffatt ha descritto una volta mangiarlo come «simile alla ghiaia da masticare che è stata dragata da una palude». Fortunatamente alla maggior parte dei nani non sembra dispiaciere."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Grano

FUEL.SACK,,Fuel,Carburante
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Nella produzione di metallo è richiesto combustibile, sia dal {{FURNITURE.BLOOMERY_FURNCE}} che dal {FURNITURE.FORGE}}."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Piano di lavoro Baker
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} lavora qui per trasformare {{RESOURCE.FLOUR.SACK.PLURAL}} in {{INDIENT.DAST}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Forno da panettiere
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} cuoce i pani usando {{INGREDIENT.DAST}} preparato.
FURNITURE.BEER_TAPPER,,Beer tapper,
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Forno a fioritura
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,Un {{PROFESSION.BLACKSMITH} utilizza questo forno manuale per trasformare {{RESOURCE.ORE.CRUSHED.PLURAL}} e {{FUEL.SACK}} in {{MATERIAL_TYPE.METAL.ADJETTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}}}}}.
FURNITURE.BREW_KETTLE,,Brew kettle,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Banco dell'artigiano
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","La maggior parte degli oggetti e degli utensili in legno sono prodotti qui, come {PRODUCT.BUCKET.PLURAL}} e {PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Calderone
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Un calderone viene utilizzato per servire una grande quantità di zuppa ai coloni affamati. La zuppa viene prodotta in un {{ROOMS.KITCHIN}} prima di essere spostata in un {{ROOMS.FEASTING_HALL}} per servire.
FURNITURE.CHAIR,,Chair,Sedia
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Morsetto carbone
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Si tratta di un mucchio di {{RESOURCE.LOGS.PLURAL}} coperto con {{MATERIAL_TYPE.EARTH}} e lentamente bruciato per produrre {OREARCOAL.NOUN}, che può essere utilizzato come {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Forno a coke
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,Un forno da coke converte {ORE.BITUMINOUS_COAL.NOUN}} in {{ORECOKE.NOUN}} in modo che possa essere utilizzato come {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{furnitureType.noun}} {{materialType.adjective}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Avanzamento al completamento: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Progressi per completare l'innoculazione: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,Progressi per ammortizzare il tronco dei funghi: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},In attesa di {{itemType.Noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,In attesa di essere riempito
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,In attesa di essere iniettato con le uova di funghi
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Tavolo da banchetto
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Con un {{FURNITURE.CHAIR}} in atto, i tuoi coloni potranno gustare i loro pasti a questo tavolo."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Gristmill
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,Il mulino macina {{VEGETALE.WHEAT}} in {{RESOURCE.FLOUR.SACK.NOUN}} in modo che possa essere utilizzato da un {{PROFESSION.CHEF}}.
FURNITURE.FORGE,,Forge,Forgia
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,È qui che un {PROFESSION.BLACKSMITH}} lavora con {{MATERIAL_TYPE.METAL.ADJETTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} e {{FUEL.SACK}} per creare oggetti e armi.
FURNITURE.GRAVE,,Grave,Una tomba
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,Una tomba scavata in fretta per i coloni defunti che può essere collocata solo in {{MATERIAL_TYPE.EARTH}}.
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Piano di lavoro da cucina
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Un'area dove conservare gli ingredienti per un {{PROFESSION.CHEF}} per cucinare la zuppa.
FURNITURE.LANTERN,,Lantern,Lanterna
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,Una lanterna fornisce luce — al momento non ha un effetto di gioco.
FURNITURE.LARGE_TABLE,,Large table,Tavolo grande
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ",
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,Log di funghi
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",Un tronco che è stato iniettato con {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} per produrre diversi raccolti di deliziosi e succosi funghi.
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Serbatoio ammortizzatore
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","Dopo l'innoculazione, un {{FURNITURE.MUSHROOM_LOG}} viene posto in questo serbatoio per «scioccare» la colonia di funghi e incoraggiarla a coltivare funghi."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Stazione di frantumazione dei minerali
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} viene schiacciato in una dimensione più praticabile in modo che possa essere utilizzato in un {{FURNITURE.BLOOMERY_FURNCE}}.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Pilastro
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,È necessario un pilastro per impedire il collasso di grandi aree estratte. Un'area di tessere 7x7 che sono state estratte senza pilastri o altri supporti in posizione alla fine crollerà.
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarcofago
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Questo elaborato contenitore di pietra è il luogo di riposo finale di un colono defunto.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Tavolo di servizio
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} vengono posti qui per servire dopo essere stati cotti in un {{FURNITURE.BAKING_OVEN}}.
FURNITURE.SINGLE_BED,,Bed,Letto
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",Un letto è il posto migliore per un riposo notturno confortevole.
FURNITURE.SINGLE_DOOR,,Door,Porta
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Telaio per porta
FURNITURE.SMALL_TABLE,,Small table,Tavolo piccolo
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Banco da tagliapietre
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,Un {{PROFESSION.STONEMASON}} funziona qui con risorse {{MATERIAL_TYPE.STONE.ADJEXTIVE}}.
FURNITURE.STOOL,,Stool,Sgabello
FURNITURE.WATER_BARREL,,Water barrel,Barile d'acqua
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","Un barile d'acqua è un luogo dove i tuoi coloni possono bere una bevanda dissetante, piuttosto che dover trovare una fonte d'acqua naturale come il fiume."
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Banco da taglialegna
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,Un {{PROFESSION.WOODCUTTER}} lavora qui per trasformare {{RESOURCE.LOGS.PLURAL}} in {{RESOURCE.PLANKS.PLURAL}}.

GEM.AMETHYST.ADJECTIVE,,Amethyst,di ametista
GEM.AMETHYST.NOUN,,Amethyst,Ametista
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,Una varietà di quarzo viola. Gli antichi umani credevano che potesse magicamente proteggerli dal diventare troppo ubriachi. Per questo motivo non è molto popolare nella cultura nana.
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolite
GEM.AMMOLITE.NOUN,,Ammolite,Ammolite
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,Una gemma simile all'opale che ha un'iridescenza dal rosso al verde. È noto come la «pietra da caccia» e gli amuleti fatti da esso hanno lo scopo di portare fortuna a una caccia.
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,di acquamarina
GEM.AQUAMARINE.NOUN,,Aquamarine,Acquamarina
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,Una varietà di berillo di colore ciano. Alcuni umani credono che offra una protezione magica contro i pericoli dei mari. Questo perché un antico mago usava una combinazione di cielo e magia del ghiaccio per proteggere le navi commerciali durante l'era delle tenebre.
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbite
GEM.BIXBITE.NOUN,,Bixbite,Bixbite
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.","Conosciuto anche come berillo rosso, è una pietra preziosa molto rara. Spesso è confuso per uno smeraldo di colore rosso."
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinnabro
GEM.CINNABAR.NOUN,,Cinnabar,Cinnabro
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,Un minerale di mercurio che viene spesso utilizzato nei gioielli per la sua tonalità rosso intenso. Viene anche usato per produrre il colorante noto come vermiglio.
GEM.CITRINE.ADJECTIVE,,Citrine,di citrino
GEM.CITRINE.NOUN,,Citrine,Citrino
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","Una varietà giallastra di quarzo. È la gemma di colore più simile all'oro, quindi la maggior parte dei nani pensa che il citrino sia fortunato."
GEM.DIAMOND.ADJECTIVE,,Diamond,di diamante
GEM.DIAMOND.NOUN,,Diamond,Diamante
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,Il materiale più conosciuto e una delle più importanti delle sette pietre celesti. I diamanti sono la forma più condensata dell'elemento neutro noto come «spirito» o «etere».
GEM.EMERALD.ADJECTIVE,,Emerald,di smeraldo
GEM.EMERALD.NOUN,,Emerald,Smeraldo
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,Una vivace varietà verde di berillo. Si pensa che l'incisione su uno smeraldo porti grande disgrazia. Gli smeraldi sono strettamente correlati alla vita elementale e alla magia associata.
GEM.GARNET.ADJECTIVE,,Garnet,di granato
GEM.GARNET.NOUN,,Garnet,Granato
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","I granati coprono una varietà di minerali usati come pietre preziose, tutti con un colore rosso intenso. Alcune gemme di granato sono in realtà una forma condensata di fuoco elementale."
GEM.JADE.ADJECTIVE,,Jade,di giada
GEM.JADE.NOUN,,Jade,"Giada "
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Un minerale dal colore verde chiaro spesso utilizzato per la decorazione. Inoltre, gli elfi sono noti per usare la giada per produrre medicine che possono curare i disturbi dell'intestino."
GEM.JASPER.ADJECTIVE,,Jasper,di diaspro
GEM.JASPER.NOUN,,Jasper,Diaspro
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","Una varietà impura di silice che può presentarsi in diversi colori, ma più comunemente rosso. Jasper è preferito come materiale decorativo dagli orchi per la sua varietà."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorite
GEM.LABRADORITE.NOUN,,Labradorite,Labradorite
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,Una roccia che brilla con un'iridescenza tipicamente azzurra. Gli esemplari più rari possono riflettere una vasta gamma di colori.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapislazzuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapislazzuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,Una roccia con una brillante tonalità blu intenso che viene utilizzata come pietra preziosa.
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnesite
GEM.MAGNESITE.NOUN,,Magnesite,Magnesite
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,Un minerale che può essere lucidato in perline per l'uso in gioielleria. Queste perline possono essere tinte in molti colori diversi.
GEM.MOONSTONE.ADJECTIVE,,Moonstone,di pietra di luna
GEM.MOONSTONE.NOUN,,Moonstone,Pietra di luna
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Pensato per essere formato dal chiaro di luna catturato nella roccia, che rende questa gemma una delle preferite degli elfi."
GEM.MORGANITE.ADJECTIVE,,Morganite,di morganite
GEM.MORGANITE.NOUN,,Morganite,Morganite
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,Una varietà di berillo di colore rosa. Il suo nome è stato reso popolare da un mercante particolarmente ricco nell'era del mito.
GEM.OPAL.ADJECTIVE,,Opal,di opale
GEM.OPAL.NOUN,,Opal,Opale
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","Una forma di silice infusa con la magia degli oceani, che lo rende uno dei preferiti di marinai e pescatori."
GEM.PAINITE.ADJECTIVE,,Painite,Painite
GEM.PAINITE.NOUN,,Painite,Painite
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,"Una pietra preziosa molto rara, spesso identificata come uno zaffiro di colore. I cristalli sono naturalmente esagonali e preferiti dai tattici."
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rodocrosite
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rodocrosite
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,"Trovato in varie tonalità dal rosso al rosa. Non è dura come la maggior parte delle gemme, il che lo rende una scelta sbagliata per anelli e altri gioielli ad alto impatto."
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,di cristallo di rocca
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Cristallo di rocca
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,La forma più pura di quarzo. I cristalli di roccia spesso presentano artefatti magici in quanto sono una forma condensata dell'elemento del ghiaccio.
GEM.RUBY.ADJECTIVE,,Ruby,di rubino
GEM.RUBY.NOUN,,Ruby,Rubino
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","Una delle sette pietre celesti, i rubini sono l'elemento del fuoco condensato in una forma solida."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,di zaffiro
GEM.SAPPHIRE.NOUN,,Sapphire,Zaffiro
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Spesso si ritiene che protegga chi lo indossa dall'attenzione dei demoni, gli zaffiri sono molto ricercati dai maghi per l'uso nel cielo e nella magia basata sull'aria."
GEM.SPINEL.ADJECTIVE,,Spinel,di smeriglio
GEM.SPINEL.NOUN,,Spinel,Smeriglio
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Spesso confusi con pietre celesti come veri rubini e zaffiri, gli spinelli sono una forma minore di gemma infusa magia che può essere associata a qualsiasi elemento, a seconda del colore."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,di tanzanite
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanite
