KEY,NOTES,ENGLISH,TURKISH
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Sıvı Kaybı
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Yorgunluk
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Besin zehirlenmesi
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Açlık
DEATH_REASON.SUFFOCATION,,Suffocation,
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Gizemli koşullar

EARTH.DIRT,,Dirt,Toprak
EARTH.GRASS,,Grass,Çimen

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,
ENTITY.DESTRUCTION_DESCRIPTION.TANTRUM,,Destroyed in a tantrum,

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,
FLOOR.CHANNEL.STATE.EMPTY,,Empty,
FLOOR.CHANNEL.STATE.FULL,,Full,
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,
FLOOR.COBBLESTONE,,Cobblestone,Kaldırım Taşı
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Toprak
FLOOR.GRASS,,Grass,Çimen
FLOOR.GRAVEL,,Gravel,Çakıl
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},
FLOOR.RIVER,,River,Nehir
FLOOR.ROUGH_STONE,,Rough stone floor,Ser taş zemin
FLOOR.SNOW,,Fallen snow,
FLOOR.STONE_PAVING,,Stone paving,
FLOOR.STONE_SLAB,,Stone slab,Taş levha
FLOOR.TILLED_EARTH,,Tilled earth,Bellenmiş toprak
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Keşfedilmemiş
FLOOR.WOODEN,,Wooden floorboards,

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Kaya Ekmeği
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Aşırı sağlam, hatta neredeyse yenemeyecek kadar sert ancak çok uzun süre küflenmeyen bir ekmek. insan kaşif J.A. Moffat bir defasında ekmeğin tadını ""Bataklıktan çıkarılmış bir çakıl taşını çiğnemeye çalışmak"" şeklinde betimlemiştir. Neyse ki cüceler bu tada çok aldırmıyorlar."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Buğday

FUEL.SACK,,Fuel,Yakıt
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}."," {{FURNITURE.BLOOMERY_FURNACE}} yada {{FURNITURE.FORGE}} metal üretirken yakıt kullanılması gerekmektedir."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Fırıncının tezgahı
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Bir {{PROFESSION.CHEF}} burada {{RESOURCE.FLOUR.SACK.PLURAL}}  {{INGREDIENT.DOUGH}} dönüştürmek için çalışıyor.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Fırıncının ocağı
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Ein {{PROFESSION.CHEF}} backt hier Laibe aus {{INGREDIENT.DOUGH}}.
FURNITURE.BEER_TAPPER,,Beer tapper,Bira Garsonu
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,Bira mevcut
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,Bir bira fıçısı yolda
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,Bira bitti!
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),Bom boş (Bira mevcut değil)
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,{{LIQUID.BEER}} buradan servis ediliyor.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Demirci ocağı
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,"{{PROFESSION.BLACKSMITH}} manuel fırını kullanarak  {{RESOURCE.ORE.CRUSHED.PLURAL}} ve {{FUEL.SACK}} nı  {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} dönüştürür. "
FURNITURE.BREW_KETTLE,,Brew kettle,Demleme tankı
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,Bu tank {{VEGETABLE.HOPS}} ve {{FURNITURE.MASH_TUN}} kullanarak fermente edilmemiş birayı yapmakta kullanılır.
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Marangoz çalışma tezgahı
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.",Tahtadan yapılan {{PRODUCT.BUCKET.PLURAL}} ve {{PRODUCT.BARREL.PLURAL}} gibi eşya ve aletlerin bir çoğu burada yapılır.
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kessel
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,"Kazan, aç bir vatandaş grubuna yüksek miktarda çorba dağıtmak için kullanılır. Çorba {{ROOMS.FEASTING_HALL}} da servis edilmeden önce {{ROOMS.KITCHEN}} da hazırlanır."
FURNITURE.CHAIR,,Chair,Sandalye
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Kömür maşası
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.",Bu {{MATERIAL_TYPE.EARTH}} ile kaplanmış  {{RESOURCE.LOGS.PLURAL}} yığını ağır ağır yakılarak {{FUEL.SACK}} olarak kullanılabilen {{ORE.CHARCOAL.NOUN}} üretilebilir.
FURNITURE.COKE_OVEN,,Coke oven,Kok Fırını
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,"Kok fırını {{ORE.BITUMINOUS_COAL.NOUN}}ı {{FUEL.SACK}}  kullanılabilmesi için {{ORE.COKE.NOUN}} dönüştürür. "
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},"{{materialType}} {{furnitureType.noun}} "
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Yürütülme durumu: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Aşılanmanın tamamlanma durumu: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Mantar kütüğünün şoklanma durumu: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},{{itemType.noun}} bekleniyor
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Doldurulması için bekleniyor
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Mantar özü ile aşılanması bekleniyor
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Ziyafet masası
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",{{FURNITURE.CHAIR}} ile beraber vatandaşların yemeklerinin tadını masada çıkaracaklar
FURNITURE.FERMENTATION_TANK,,Fermentation tank,Fermantasyon tankı
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,{{LIQUID.HOPPED_WORT}} un {{LIQUID.BEER}}ya dönüştüğü yer.
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench,
FURNITURE.FLETCHERS_WORKBENCH.TOOTIP,,This is a crafting station for ranged weapons and ammunition,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Un Değirmeni
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,Un değirmeni {{VEGETABLE.WHEAT}} nı öğüterek {{PROFESSION.CHEF}} tarafından kullanılabilecek {{RESOURCE.FLOUR.SACK.NOUN}} elde eder.
FURNITURE.FORGE,,Forge,Demirhane
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,"Burası bir {{PROFESSION.BLACKSMITH}} nin {{MATERIAL_TYPE.METAL.ADJECTIVE}} , {{RESOURCE.METAL.INGOT.PLURAL}} ve {{FUEL.SACK}} kullanarak eşya ve silah yaptığı yer."
FURNITURE.GRAVE,,Grave,Mezar
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,"Ölmüş vatandaşlar için acele ile kazılmış mezar, sadece {{MATERIAL_TYPE.EARTH}} alana yerleştirilebilir."
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Mutfak tezgahı
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,{{PROFESSION.CHEF}} nın çorba malzemelerini sakladığı yer.
FURNITURE.LANTERN,,Lantern,Fener
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,Fener ışık sağlar ancak şuanda oyun içi bir etkisi bulunmamakta.
FURNITURE.LARGE_TABLE,,Large table,Geniş masa
FURNITURE.LOOM,,Loom,
FURNITURE.MALTING_STATION,,Malting station,Maltlama istasyonu
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ",Bira yapımcısı burada önce arpayı ıslatır ardından malt üretmek için fırında kurutur.
FURNITURE.MASH_TUN,,Mash tun,Püre Fıçısı
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,Burası öğütülmüş malt ve su  ile fermente edilmemiş bira üretiminde kullanılır.
FURNITURE.MUSHROOM_LOG,,Mushroom log,Mantar kütüğü
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",{{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} ile aşılanmış kütük birkaç hasatlık  lezzetli ve sulu mantar üretecektir.
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Şok tankı
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",Aşılamanın ardından {{FURNITURE.MUSHROOM_LOG}} mantarların büyümesini teşvik etmek adına şok tankının içine yerleştirilir.
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Cevher parçalama istasyonu
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,Ham {{RESOURCE.ORE.UNREFINED.PLURAL}} {{FURNITURE.SMELTER}} kullanılabilecek daha küçük parçalara ayrılır.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Sütun
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,"Sütun büyük kazı alanlarının çökmesini engellemek için gereklidir. 7 x 7 karo dan oluşan, sütun veya diğer destek yapılarından biri tarafından desteklenmeyen alanlar eninde sonunda çökecektir."
FURNITURE.RETTING_TANK,,Retting tank,
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.,
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarkofaj
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,"Bu özenle hazırlanmış taş kutu, vefat etmiş bir vatandaşın son dinlenme mekanı."
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Servis masası
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.," {{PRODUCT.BREAD.LOAF.PLURAL}} {{FURNITURE.BAKING_OVEN}} pişirildikten sonra servis edilmek için buraya yerleştirilir."
FURNITURE.SINGLE_BED,,Bed,Yatak
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ","Yatak, rahat bir uyku için en iyi yer."
FURNITURE.SINGLE_DOOR,,Door,Kapı
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Kapı çerçevesi
FURNITURE.SLEEPING_SPOT,,Sleeping spot,
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!,
FURNITURE.SMALL_TABLE,,Small table,Küçük masa
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Taş ustası tezgahı
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{PROFESSION.STONEMASON}} burada {{MATERIAL_TYPE.STONE.ADJECTIVE}} kaynakları ile çalışır.
FURNITURE.STOOL,,Stool,Tabure
FURNITURE.WATERWHEEL,,Water wheel,
FURNITURE.WATERWHEEL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts. Must be built adjacent to a river.,
FURNITURE.WATER_BARREL,,Water barrel,Su Fıçısı
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","Su fıçısı, vatandaşların nehir gibi doğal su kaynağı bulmalarına gerek kalmadan  susuzluklarını giderdiği yerdir."
FURNITURE.WATER_PUMP,,Water pump,
FURNITURE.WATER_PUMP.TOOLTIP,,Moves water from the river to a pipe system.,
FURNITURE.WELL,,Well,
FURNITURE.WELL.TOOLTIP,,"A well provides a source of water, but must be connected to a working pipe system.",
FURNITURE.WINDMILL,,Windmill,
FURNITURE.WINDMILL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Doğrama tezgahı
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,{{PROFESSION.WOODCUTTER}} burada {{RESOURCE.LOGS.PLURAL}} {{RESOURCE.PLANKS.PLURAL}} dönüştürür.

GEM.AMETHYST.ADJECTIVE,,Amethyst,Ametist
GEM.AMETHYST.NOUN,,Amethyst,Ametist
