KEY,NOTES,ENGLISH,SWEDISH
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Denna gröda har drabbats av ett alltför stort antal bladlöss och andra insekter som måste avlägsnas av en {{PROFER.FARMER}} innan den kan blomstra igen. Att inte ta bort skadedjur i tid kan innebära att denna gröda dör!
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{MaterialType.noun}} växt
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Framsteg mot skörd: {{framsteg}}%

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Fallande skräp
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Uttorkning
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Utmattning
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Matförgiftning
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Svält
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Mystiska omständigheter

EARTH.DIRT,,Dirt,Smuts
EARTH.GRASS,,Grass,Gräs

FLOOR.COBBLESTONE,,Cobblestone,Kullersten
FLOOR.DESCRIPTION,,{{floorType.noun}},{{Floortype.noun}}
FLOOR.DIRT,,Dirt,Smuts
FLOOR.GRASS,,Grass,Gräs
FLOOR.GRAVEL,,Gravel,Grus
FLOOR.RIVER,,River,Floden
FLOOR.ROUGH_STONE,,Rough stone floor,Grovt stengolv
FLOOR.STONE_SLAB,,Stone slab,Stenplatta
FLOOR.TILLED_EARTH,,Tilled earth,Jordbrukad jord
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Outforskad

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Rockbread
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,Detta är ett skamligt tufft bröd som är så svårt och praktiskt oätligt att det tar mycket lång tid att bli mögligt. Den mänskliga upptäcktsresanden J. A. Moffatt beskrev en gång att äta den som ”besläktad med att tugga grus som har muddrats från ett träsk”. Lyckligtvis verkar de flesta dvärgar inte bry sig.
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Vete

FUEL.SACK,,Fuel,Bränsle
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Bränsle krävs vid tillverkning av metall, både av {{FEBURITURE.BLOOMERY_UGE}} och {{FURNITURE.FORGE}}."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Baker bänkskiva
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,A {{PROCESS.CHEF}} fungerar här för att förvandla {{RESOURCE.FLOUR.SACK.PLURAL}} till {{INDERENT.DEG}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Bakers ugn
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,En {{PROCISC.CHEF}} bakar bröd här med hjälp av preparerade {{INDERENT.DEG}}.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Bloomery ugn
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,En {{PROFESSI.BLAKSMITH}} använder denna handdrivna ugn för att omvandla {{RESOURCE.ORE.CRUSHED.PLURAL}} och {FUEL.SACK}} till {{MATERIAL_TYPE.METAL.INGOT.PLURAL}}.
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Snickarbänk
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","De flesta träartiklar och verktyg produceras här, till exempel {{PRODUCT.BOCKET.PLURAL} och {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kittel
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,En kittel används för att servera en stor mängd soppa till hungriga bosättare. Soppan produceras i en {{ROOMS.CITY}} innan den flyttas till en {{ROOPS.FEASTING_HALL}} för servering.
FURNITURE.CHAIR,,Chair,Stol
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Klämma av träkol
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Detta är en hög med {{RESOURCE.LOGS.PLURAL}} täckt med {{MATERIAL_TYPE.EARD}} och långsamt brändes för att producera {{ORE.CHARCOAL.NOUN}}, som sedan kan användas som {FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Koksugn
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,En koksugn omvandlar {{ORE.BITUMINOUS_COAL.NOUN}} till {{ORE.COKE.NOUN}} så att den kan användas som {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{FurnitureType.substantiv}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Framsteg till slutförande: {{framsteg}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Framsteg till fullständig oskulation: {{framsteg}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,Framsteg till chock svamp logg: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Väntar på {{itemType.noun}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Väntar på att fyllas
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Väntar på att injiceras med svampspawn
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Festbord
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Med en {{Furniture.COOR}} på plats, kommer dina nybyggare njuta av sina måltider vid detta bord."
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Gristmill
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,Gristmill malar {{VEETABL.VETE}} i {{RESOURCE.FLOUR.SACK.NOUN}} så att den kan användas av en {{PROCESTI.CHEF}}.
FURNITURE.FORGE,,Forge,Smida
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,Här arbetar en {{PROCESS.BLAKSMITH}} med {{MATERIAL_TYPE.METAL.ADJECTIVE} {RESOURCE.METAL.INGOT.PLURAL}} och {FUEL.SACK}} för att tillverka föremål och vapen.
FURNITURE.GRAVE,,Grave,Grav
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,En hastigt grävd grav för avlidna bosättare som endast kan placeras i {{MATERIAL_TYPE.EARD}}.
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Kök bänkskiva
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Ett område för att lagra ingredienser för en {{PROCUS.CHEF}} för att laga soppa.
FURNITURE.LANTERN,,Lantern,Lykta
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,En lykta ger ljus — detta har för närvarande ingen effekt i spelet.
FURNITURE.LARGE_TABLE,,Large table,Stort bord
FURNITURE.MUSHROOM_LOG,,Mushroom log,Svamp logg
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.","En logg som injicerats med {{INDERENENT.MUSTOM.SPAWN.PLURAL}} för att producera flera skördar av läckra, saftiga svampar."
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Shock tank
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",Efter oskulation placeras en {{FEBRUARIET.MUSTOM_LOG}} i denna tank för att ”chocka” svampkolonin och uppmuntra den att odla svamp.
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Krossningsstation för malm
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,Raw {RESOURCE.ORE.UNREFERED.PLURAL}} är krossad till en mer användbar storlek så att den kan användas i {{FURCE.BLOOMERY_UGE}}.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Pelare
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,En pelare krävs för att stoppa stora utvinda områden från att kollapsa. Ett område med 7x7 plattor som har utvinns utan några pelare eller andra stöd på plats kommer så småningom att kollapsa.
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarkofagen
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Denna genomarbetade stenbehållare är den sista viloplatsen för en avliden bosättare.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Serveringsbord
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} är placerade här för servering efter att ha bakats i en {{FURNITURE.BAKING_OVN}}.
FURNITURE.SINGLE_BED,,Bed,Säng
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",En säng är den bästa platsen för en bekväm natts vila.
FURNITURE.SINGLE_DOOR,,Door,Dörr
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Dörrkarm
FURNITURE.SMALL_TABLE,,Small table,Litet bord
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Stenhuggarbänk
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,A {{PROFESSI.STONEMASON}} arbetar här med {{MATERIAL_TYPE.STONE.ADJECTIVE}} resurser.
FURNITURE.STOOL,,Stool,Pall
FURNITURE.WATER_BARREL,,Water barrel,Vatten fat
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","Ett vattenfat är en plats för dina nybyggare att få en törstsläckande dryck, snarare än att behöva hitta en naturlig vattenkälla som floden."
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Huggkubb
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,A {{PROCESS.WOOKCUTER}} fungerar här för att förvandla {{RESOURCE.LOGS.PLURAL}} till {{RESOURCE.PLURAL}}.

GEM.AMETHYST.ADJECTIVE,,Amethyst,Ametist-
GEM.AMETHYST.NOUN,,Amethyst,Ametist
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,En violett-hued sort av kvarts. Forntida människor trodde att det kunde skydda dem från att bli för fulla. Av denna anledning är det inte särskilt populärt i dvärgkultur.
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolit
GEM.AMMOLITE.NOUN,,Ammolite,Ammolit
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,En opalliknande ädelsten som har en röd till grön iridescens. Det är känt som ”jaktsten” och amuletter gjorda av den är avsedda att bringa lycka till en jakt.
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,Akvamarin-
GEM.AQUAMARINE.NOUN,,Aquamarine,Akvamarin
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,En cyanfärgad sort av beryl. Vissa människor tror att det erbjuder magiskt skydd mot farorna i haven. Detta beror på att en uråldrig magiker använde en kombination av himmel och is magi för att skydda handelsfartyg under mörkrets tid.
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbite
GEM.BIXBITE.NOUN,,Bixbite,Bixbite
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.","Även känd som röd beryl, det är en mycket sällsynt ädelsten. Det är ofta förvirrad för en rödfärgad smaragd."
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinnabar
GEM.CINNABAR.NOUN,,Cinnabar,Cinnabar
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,En kvicksilvermalm som ofta används i smycken på grund av sin djupröda nyans. Det används också för att producera färgämnet som kallas vermillion.
GEM.CITRINE.ADJECTIVE,,Citrine,Citron-
GEM.CITRINE.NOUN,,Citrine,Citrin
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","En gulaktig sort av kvarts. Det är ädelstenen som är mest lik guld, så de flesta dvärgar tycker att citrin har tur."
GEM.DIAMOND.ADJECTIVE,,Diamond,Diamant-
GEM.DIAMOND.NOUN,,Diamond,Diamant
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,Det svåraste kända materialet och en av de viktigaste av de sju himmelska stenarna. Diamanter är den mest kondenserade formen av det neutrala elementet som kallas ”ande” eller ”eter”.
GEM.EMERALD.ADJECTIVE,,Emerald,Smaragd-
GEM.EMERALD.NOUN,,Emerald,Smaragd
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,En livfull grön variation av beryl. Man tror att gravyr på en smaragd ger stor olycka. Smaragder är nära besläktade med elementärt liv och tillhörande magi.
GEM.GARNET.ADJECTIVE,,Garnet,Granat-
GEM.GARNET.NOUN,,Garnet,Granat
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","Granat täcker en mängd mineraler som används som ädelstenar, alla med en djup röd färg. Vissa granatpärlor är faktiskt en kondenserad form av elementär eld."
GEM.JADE.ADJECTIVE,,Jade,Jade-
GEM.JADE.NOUN,,Jade,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",Ett mineral med ljusgrön färg som ofta används för dekoration. Dessutom har alver varit kända för att använda jade för att producera medicin som kan bota sjukdomar i tarmen.
GEM.JASPER.ADJECTIVE,,Jasper,Jaspis-
GEM.JASPER.NOUN,,Jasper,Jaspis
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","En oren sort av kiseldioxid som kan förekomma i flera färger, men oftast röd. Jasper gynnas som dekorationsmaterial av orcher på grund av dess mångfald."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorit
GEM.LABRADORITE.NOUN,,Labradorite,Labradorit
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,En sten som lyser med en typiskt ljusblå iridescens. Sällare exemplar kan spegla ett brett spektrum av färger.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapis lazuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapis lazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,En sten med en lysande djupblå nyans som används som en ädelsten.
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnesit
GEM.MAGNESITE.NOUN,,Magnesite,Magnesit
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,Ett mineral som kan poleras till pärlor för användning i smycken. Dessa pärlor kan färgas i många olika färger.
GEM.MOONSTONE.ADJECTIVE,,Moonstone,Månsten-
GEM.MOONSTONE.NOUN,,Moonstone,Månsten
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Trodde bildas av månskenet fångat i sten, vilket gör denna ädelsten till en favorit bland alverna."
GEM.MORGANITE.ADJECTIVE,,Morganite,Morganit-
GEM.MORGANITE.NOUN,,Morganite,Morganit
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,En rosafärgad sort av beryl. Det namngavs efter att ha blivit populär av en särskilt rik köpman i mytens tidsålder.
GEM.OPAL.ADJECTIVE,,Opal,Opal-
GEM.OPAL.NOUN,,Opal,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","En form av kiseldioxid fylld med havens magi, vilket gör detta till en favorit bland sjömän och fiskare."
GEM.PAINITE.ADJECTIVE,,Painite,Smärtsamt
GEM.PAINITE.NOUN,,Painite,Smärtsamt
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,En mycket sällsynt ädelsten som ofta identifieras som en ofärgad safir. Kristallerna är naturligt sexkantiga i form och en favorit hos taktiker.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rhodokrosit
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rhodokrosit
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,"Finns i olika nyanser av rött till rosa. Det är inte lika svårt som de flesta ädelstenar, vilket gör det till ett dåligt val för ringar och andra stora smycken."
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,Bergkristall-
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Bergkristall
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,Den renaste formen av kvarts. Stenkristaller förekommer ofta i magiska artefakter eftersom de är en kondenserad form av iselementet.
GEM.RUBY.ADJECTIVE,,Ruby,Rubin-
GEM.RUBY.NOUN,,Ruby,Rubin
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","En av de sju himmelska stenarna, rubiner är eldens element kondenserad till en fast form."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,Safir-
GEM.SAPPHIRE.NOUN,,Sapphire,Safir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Ofta tros skydda bäraren från demonernas uppmärksamhet, safirer är mycket eftertraktade av magiker för användning i himlen och luftbaserad magi."
GEM.SPINEL.ADJECTIVE,,Spinel,Spinell-
GEM.SPINEL.NOUN,,Spinel,Spinell
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Ofta förväxlas med himmelska stenar som äkta rubiner och safirer, spineller är en mindre form av magisk infunderad pärla som kan associeras med något av elementen, beroende på färg."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,Tanzanite-
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanite
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,En sällsynt ädelsten som kan växla mellan blå och violett. Det tros vara bildat av en död guds materiella kropp.
GEM.TOPAZ.ADJECTIVE,,Topaz,Topas-
GEM.TOPAZ.NOUN,,Topaz,Topas
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Ibland förväxlas med den vanligare ädelstenen {{GEM.CITRINE.NOUN}}, finns topas i flera färger men oftast gulbrun. Den upptäcktes först på en ö som inte längre existerar."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Turmalin-
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalin
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Ofta hittas tillsammans med {{ORE.CASSITERITE.ADJEKTIVAL}} malm. Det är ibland förknippat med jordmagi.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Turkos-
GEM.TURQUOISE.NOUN,,Turquoise,Turkos
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Ett blågrönt mineral som ofta används i dekorationer. Det är tänkt att bringa lycka till bäraren. Det är ofta infunderat med jordens element.

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Samla {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetZoneMaterial}},Dricka {{targetZoneMaterial}}
