KEY,NOTES,ENGLISH,RUSSIAN
CRAFTING_TYPE.FERMENTING,,Fermenting,Фермерство
CRAFTING_TYPE.FLETCHING,,Fletching,Оперение стрел
CRAFTING_TYPE.MALTING,,Malting,Соложение
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,Замешивание солода
CRAFTING_TYPE.MILLING,,Milling,Измельчение
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,Дробление руды
CRAFTING_TYPE.SMELTING,,Smelting,Плавление металлов
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,Работа с камнем
CRAFTING_TYPE.WEAVING,,Weaving,Ткачество
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,Резьба по дереву
CRAFTING_TYPE.WORT_BREWING,,Brewing,Пивоварение

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},
CREATURE.STATUS.BLINDED,,Blinded,Ослепленный
CREATURE.STATUS.DEAD,,Dead,Мертвый

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Поражено вредителями
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,"Это растение пострадало от чрезмерного количества тлей и других насекомых, которых необходимо удалить {{PROFESSION.FARMER}}, прежде чем оно сможет снова расти. Несвоевременное удаление вредителей приведет к гибели урожая!"
CROP.DESCRIPTION,,{{materialType.noun}} plant,Растение: {{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Прогресс до сбора урожая: {{progress}}%
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,Это растение долгое время не имеет доступа к воде и перестало расти. 
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,Это растение не поливали и оно медленно растет 
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,"Вы можете поливать свои посевы с помощью канала, содержащего воду в 2 клетках."
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,Это растение недавно поливали и оно быстро растет. 

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,Горящий
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,Критическое повреждение органа 
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Падающие обломки
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Обезвоживание
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Истощение 
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Пищевое отравление
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,Воздействие холода
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,Отказавшись от жизни 
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,Внутреннее кровотечение
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Голод
DEATH_REASON.SUFFOCATION,,Suffocation,Удушье 
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Таинственные обстоятельства

EARTH.DIRT,,Dirt,Грязь
EARTH.GRASS,,Grass,Трава

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,Уничтожен огнем
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,Разрушается при длительном пребывании под дождем 
ENTITY.DESTRUCTION_DESCRIPTION.TANTRUM,,Destroyed in a tantrum,Уничтожен в припадке гнева 

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),Оросительный канал ({{state}}) 
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,Оросительные каналы обеспечивают доступ к воде сельскохозяйственных культур в пределах 2 клеток. Постройте водяной насос и подключите к нему каналы с помощью труб. 
FLOOR.CHANNEL.STATE.EMPTY,,Empty,Пустой
FLOOR.CHANNEL.STATE.FULL,,Full,Полный
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,Частично заполнен 
FLOOR.COBBLESTONE,,Cobblestone,Булыжник
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Грязь
FLOOR.GRASS,,Grass,Трава
FLOOR.GRAVEL,,Gravel,Гравий
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),{{material}} труба ({{state}}) 
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},Доступная энергия: {{powerAmount}} 
FLOOR.RIVER,,River,Река
FLOOR.ROUGH_STONE,,Rough stone floor,Грубый каменный пол
FLOOR.SNOW,,Fallen snow,Выпавший снег
FLOOR.STONE_PAVING,,Stone paving,Брусчатка 
FLOOR.STONE_SLAB,,Stone slab,Каменная плитка
FLOOR.TILLED_EARTH,,Tilled earth,Обработанная земля
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Неисследованные
FLOOR.WOODEN,,Wooden floorboards,Деревянные половые доски 

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Каменный хлеб
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Это печально известный жесткий хлеб, который настолько твердый и практически несъедобный, что потребуется очень много времени, чтобы он испортился. Человек-исследователь Дж. А. Моффатт описал его вкус как «Сродни жеваемому гравию, который был вынут из болота». К счастью, большинство гномов, кажется, не против их есть."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Пшеница

FUEL.SACK,,Fuel,Топливо
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Топливо требуется при производстве металла, как {{FURNITURE.BLOOMERY_FURNACE}}, так и {{FURNITURE.FORGE}}."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Стол пекаря
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,"{{PROFESSION.CHEF}} работает здесь, чтобы превратить {{RESOURCE.FLOUR.SACK.PLURAL}} в {{INGREDIENT.DOUGH}}."
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Плита для выпечки хлеба
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,"{{PROFESSION.CHEF}} выпекает здесь хлеб, используя приготовленные {{INGREDIENT.DOUGH}}."
FURNITURE.BEER_TAPPER,,Beer tapper,Пивной кран 
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,Пиво доступно
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,Бочонок с пивом уже в пути 
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,Все пиво пропало! 
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),В режиме ожидания (пиво недоступно) 
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,Здесь ферментируется{{LIQUID.BEER}} 
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Блумерская печь 
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,"{{PROFESSION.BLACKSMITH}} используйте эту печь с ручным управлением, чтобы превратить {{RESOURCE.ORE.CRUSHED.PLURAL}} и {{FUEL.SACK}} в {{MATERIAL_TYPE.METAL.ADJECTIVE}} {RESOURCE.METAL.INGOT.PLURAL}}."
FURNITURE.BREW_KETTLE,,Brew kettle,Заварочный чайник 
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,Это используется для производства конечного сусла (неферментированного пива) с использованием {{VEGETABLE.HOPS}} и сусла из {{FURNITURE.MASH_TUN}} 
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,Стол для разделки мяса
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,Туши рыбы и животных здесь превращают в пригодное для употребления мясо
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Столярный верстак
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","Здесь производится большинство деревянных изделий и инструментов, таких как {{PRODUCT.BUCKET.PLURAL}} и {PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Котел
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Котел используется для подачи большого количества супа голодным поселенцам. Суп производится в {{ROOMS.KITCHEN}} перед перемещением в {{ROOMS.FEASTING_HALL}} для подачи.
FURNITURE.CHAIR,,Chair,Стул
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Куча угля
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Это куча {{RESOURCE.LOGS.PLURAL}}, покрытая {{MATERIAL_TYPE.EARTH}} и медленно сжигаемая для получения {{ORE.CHARCOAL.NOUN}}, которую затем можно использовать как {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Коксовая печь
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,"Коксовая печь преобразует {{ORE.BITUMINOUS_COAL.NOUN}} в {{ORE.COKE.NOUN}}, чтобы ее можно было использовать как {{FUEL.SACK}}."
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},Гранитный верстак каменщика {{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Прогресс до завершения: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Прогресс до завершения введения грибных спор {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Прогресс: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Ожидание {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Ожидание заполнения
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Ожидание введения грибных спор
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Праздничный стол 
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","С {{FURNITURE.CHAIR}}, ваши поселенцы будут наслаждаться трапезой за этим столом."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,Резервуар для брожения 
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,Здесь {{LIQUID.HOPPED_WORT}} ферментируется до {{LIQUID.BEER}} 
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench,Верстак лучника
FURNITURE.FLETCHERS_WORKBENCH.TOOTIP,,This is a crafting station for ranged weapons and ammunition,Это мастерская для стрелкового оружия и боеприпасов. 
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Мельница
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,"Мельница измельчает {{VEGETABLE.WHEAT}} в {{RESOURCE.FLOUR.SACK.NOUN}}, чтобы ее можно было использовать {{PROFESSION.CHEF}}."
FURNITURE.FORGE,,Forge,Кузница
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,Здесь {{PROFESSION.BLACKSMITH}} работает с {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} и {{FUEL.SACK}} для создания предметов и оружия.
FURNITURE.GRAVE,,Grave,Могила
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,"Поспешно вырытая могила для умерших поселенцев, которая может быть расмещена только в {{MATERIAL_TYPE.EARTH}}."
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Кухонный стол
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Область для хранения ингредиентов нужных для приготовления супа {{PROFESSION.CHEF}}.
FURNITURE.LANTERN,,Lantern,Фонарь
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,Фонарь обеспечивает свет — в настоящее время это не имеет эффекта в игре.
FURNITURE.LARGE_TABLE,,Large table,Большой стол
FURNITURE.LOOM,,Loom,Ткацкий станок 
FURNITURE.MALTING_STATION,,Malting station,Солодовый аппарат
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ","Здесь пивовары варят ячмень, а затем сушат его в печи для производства солода."
FURNITURE.MASH_TUN,,Mash tun,Бочка для бражения
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,Используется для производства сусла (неферментированного пива) из молотого солода и воды. 
FURNITURE.MUSHROOM_LOG,,Mushroom log,Грибное бревно
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.","Бревно, в которое были введены {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} для получения нескольких урожаев вкусных и сочных грибов."
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Шоковый бак
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","После введения спор в этот бак помещается {{FURNITURE.MUSHROOM_LOG}}, чтобы «шокировать» колонию грибов и побудить их к росту."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Станция дробления руды
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,"Сырье {{RESOURCE.ORE.UNREFINED.PLURAL}} измельчается до более приемлимого размера, чтобы его можно было использовать в {{FURNITURE.BLOOMERY_FURNACE}}."
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Колонна
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,"Колонна необходима для предотвращения обрушения крупных выкопанных помещений. Область площадью 7x7 квадратов обрушится, если не использовать колонны для поддержания потолка."
FURNITURE.RETTING_TANK,,Retting tank,Сливной бак
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.,Он используется для переработки сырья из {{VEGETABLE.HEMP}} в конопляное волокно которое может быть переработано в полезные материалы
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Саркофаг
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Этот изящный каменный гроб является последним местом упокоения для поселенца.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Сервировочный стол
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} размещаются здесь для подачи на стол после выпечки в {{FURNITURE.BAKING_OVEN}}.
FURNITURE.SINGLE_BED,,Bed,Кровать
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",Кровать — лучшее место для комфортного сна.
FURNITURE.SINGLE_DOOR,,Door,Дверь
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Дверной косяк
FURNITURE.SLEEPING_SPOT,,Sleeping spot,Спальное место 
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!,"Ваши поселенцы будут использовать это место, чтобы спать на полу. Это не очень удобно!"
FURNITURE.SMALL_TABLE,,Small table,Маленький стол
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Верстак каменщика
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{PROFESSION.STONEMASON}} работает здесь с ресурсами {{MATERIAL_TYPE.STONE.ADJECTIVE}}.
FURNITURE.STOOL,,Stool,Табурет
FURNITURE.WATERWHEEL,,Water wheel,Водяная мельница
