KEY,NOTES,ENGLISH,POLISH
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Postępy zbierania: {{progress}}%

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Spadające szczątki
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Odwodnienie
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Wyczerpanie
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Zatrucie pokarmowe
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Głód
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Tajemnicze okoliczności

EARTH.DIRT,,Dirt,Brud
EARTH.GRASS,,Grass,Trawa

FLOOR.COBBLESTONE,,Cobblestone,Bruk
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Ziemia
FLOOR.GRASS,,Grass,Trawa
FLOOR.GRAVEL,,Gravel,Żwir
FLOOR.RIVER,,River,Rzeka
FLOOR.ROUGH_STONE,,Rough stone floor,Kamienna podłoga
FLOOR.STONE_SLAB,,Stone slab,Kamienna płyta
FLOOR.TILLED_EARTH,,Tilled earth,Ziemia uprawna
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Nieodkryte

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Rockbread
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Jest to niesławnie twardy chleb, który jest tak twardy i praktycznie niejadalny, że bardzo zajmuje dużo czasu, aby zmienić pleśń. Człowiek odkrywca J. A. Moffatt określił kiedyś jedzenie go jako „podobne do żucia żwiru, który został pogłębiony z bagna”. Na szczęście większość krasnoludów nie ma nic przeciwko."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Pszenica

FUEL.SACK,,Fuel,Paliwo
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Do produkcji metalu wymagane jest paliwo, zarówno przez {{FURNITURE.BLOOMERY_FURNACE}}, jak i {{FURNITURE.FORGE}}."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Blat piekarza
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,"{{PROFESSION.CHEF}} pracuje tutaj, aby zmienić {{RESOURCE.FLOUR.SACK.PLURAL}} w {{INGREDIENT.DOUGH}}."
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Piec do chleba
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,A {{PROFESSION.CHEF}} piecze tutaj bochenki używając przygotowanego {{INGREDIENT.DOUGH}}.
FURNITURE.BEER_TAPPER,,Beer tapper,
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Piec Bloomery
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,{{PROFESSION.BLACKSMITH}} używa tego ręcznego pieca do przekształcenia {{RESOURCE.ORE.CRUSHED.PLURAL}} i {{FUEL.SACK}} w {{MATERIAL_TYPE.METAL.ADJECTIVE}}.
FURNITURE.BREW_KETTLE,,Brew kettle,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Stół cieśli
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","Tutaj produkowana jest większość drewnianych elementów i narzędzi, takich jak {{PRODUCT.BUCKET.PLURAL}} i {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kocioł
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,"Kocioł służy do serwowania dużej ilości zupy głodnym osadnikom. Zupa jest produkowana w {{ROOMS.KITCHEN}}, zanim zostanie przeniesiona do {{ROOMS.FEASTING_HALL}}."
FURNITURE.CHAIR,,Chair,Krzesło
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Zacisk węglowy
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Jest to stos {{RESOURCE.LOGS.PLURAL}} pokrytych {{MATERIAL_TYPE.EARTH}} i powoli spłonął, aby wyprodukować {{ORE.CHARCOAL.NOUN}}, który następnie może być użyty jako {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Piec koksowy
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,"Piec koksownikowy zamienia {{ORE.BITUMINOUS_COAL.NOUN}} na {{ORE.COKE.NOUN}}, dzięki czemu może być użyty jako {{FUEL.SACK}}."
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Postęp do ukończenia: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Postęp do dokończenia niewinności: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,Postęp do dziennika wstrząsów grzybów: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Oczekiwanie na {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Czekając na wypełnienie
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Oczekiwanie na wstrzyknięcie grzyba tarła
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Stół biesiadny
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Z {{FURNITURE.CHAIR}}, twoi osadnicy będą cieszyć się posiłkami przy tym stole."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Gristmill
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,"Gristmill zmiela {{VEGETABLE.WHEAT}} do {{RESOURCE.FLOUR.SACK.NOUN}}, aby mógł być używany przez {{PROFESSION.CHEF}}."
FURNITURE.FORGE,,Forge,Kuźnia
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,W tym miejscu {{PROFESSION.BLACKSMITH}} współpracuje z {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} i {{FUEL.SACK}} w celu tworzenia przedmiotów i broni.
FURNITURE.GRAVE,,Grave,Grób
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,"Pospiesznie wykopany grób dla zmarłych osadników, który można umieścić tylko w {{MATERIAL_TYPE.EARTH}}."
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Blat kuchenny
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Obszar do przechowywania składników dla {{PROFESSION.CHEF}} do gotowania zupy.
FURNITURE.LANTERN,,Lantern,Latarnia
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,Latarnia zapewnia światło — obecnie nie ma efektu w grze.
FURNITURE.LARGE_TABLE,,Large table,Duży stół
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ",
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,Dziennik grzybowy
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.","Dziennik, który został wstrzyknięty {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}}, aby wyprodukować kilka plonów pysznych, soczystych grzybów."
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Zbiornik uderzeniowy
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","Po niewinności w zbiorniku umieszcza się {{FURNITURE.MUSHROOM_LOG}}, aby „wstrząsnąć” kolonią grzybów i zachęcić ją do uprawy grzybów."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Stacja kruszenia rud
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,"Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} jest kruszony do bardziej wykonalnego rozmiaru, dzięki czemu można go używać w {{FURNITURE.BLOOMERY_FURNACE}}."
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Filar
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,"Filar jest wymagany, aby zapobiec zawalaniu się dużych obszarów wydobytych. Powierzchnia płytek 7x7, które zostały wydobyte bez żadnych filarów lub innych podpór w miejscu, ostatecznie zapadnie się."
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarkofag
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Ten wyszukany kamienny pojemnik jest ostatnim miejscem spoczynku zmarłego osadnika.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Stół do podawania posiłków
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} są umieszczane tutaj w celu podania po pieczeniu w {{FURNITURE.BAKING_OVEN}}.
FURNITURE.SINGLE_BED,,Bed,Łóżko
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",Łóżko to najlepsze miejsce na komfortowy odpoczynek w nocy.
FURNITURE.SINGLE_DOOR,,Door,Drzwi
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Futryna
FURNITURE.SMALL_TABLE,,Small table,Mały stół
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Stół kamieniarza
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{PROFESSION.STONEMASON}} pracuje tutaj z zasobami {{MATERIAL_TYPE.STONE.ADJECTIVE}}.
FURNITURE.STOOL,,Stool,Stołek
FURNITURE.WATER_BARREL,,Water barrel,Beczka na wodę
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","Beczka z wodą to miejsce dla osadników, aby dostać napój gaszący pragnienie, zamiast szukać naturalnego źródła wody, takiego jak rzeka."
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Stół do cięcia drewna
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,"{{PROFESSION.WOODCUTTER}} pracuje tutaj, aby zmienić {{RESOURCE.LOGS.PLURAL}} w {{RESOURCE.PLANKS.PLURAL}}."

GEM.AMETHYST.ADJECTIVE,,Amethyst,Ametystowy
GEM.AMETHYST.NOUN,,Amethyst,Ametyst
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,"Fioletowy odmiana kwarcu. Starożytni ludzie wierzyli, że może magicznie ochronić ich przed zbyt pijanym. Z tego powodu nie jest zbyt popularny w kulturze krasnoludowej."
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolit
GEM.AMMOLITE.NOUN,,Ammolite,Ammolit
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,"Kamień przypominający opal, który ma czerwoną do zielonego opalizowania. Znany jest jako „kamień myśliwski”, a wykonane z niego amulety mają przynieść szczęście na polowanie."
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,Akwamarynowy
GEM.AQUAMARINE.NOUN,,Aquamarine,Akwamaryna
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,"Odmiana berylu w kolorze cyjanowym. Niektórzy ludzie uważają, że oferuje magiczną ochronę przed niebezpieczeństwami mórz. Dzieje się tak dlatego, że starożytny maga użył kombinacji magii nieba i lodu do ochrony statków handlowych w dobie ciemności."
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbite
GEM.BIXBITE.NOUN,,Bixbite,Bixbite
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.","Znany również jako czerwony beryl, jest to bardzo rzadki kamień szlachetny. Często jest mylony z czerwonym szmaragdem."
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinnabar
GEM.CINNABAR.NOUN,,Cinnabar,Cinnabar
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,"Ruda rtęci, która jest często używana w biżuterii ze względu na jej głębokoczerwony odcień. Jest również stosowany do produkcji barwnika znanego jako vermillion."
GEM.CITRINE.ADJECTIVE,,Citrine,Cytrynowy
GEM.CITRINE.NOUN,,Citrine,Cytryn
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","Żółtawa odmiana kwarcu. Jest to kamień szlachetny najbardziej zbliżony do złota, więc większość krasnoludów uważa, że cytryn ma szczęście."
GEM.DIAMOND.ADJECTIVE,,Diamond,Diamentowy
GEM.DIAMOND.NOUN,,Diamond,Diament
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,Najtrudniejszy znany materiał i jeden z najważniejszych z siedmiu niebiańskich kamieni. Diamenty są najbardziej skondensowaną formą neutralnego pierwiastka znanego jako „duch” lub „eter”.
GEM.EMERALD.ADJECTIVE,,Emerald,Szmaragdowy
GEM.EMERALD.NOUN,,Emerald,Szmaragd
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,"Żywa zielona odmiana berylu. Uważa się, że grawerowanie na szmaragdzie przynosi wielkie nieszczęście. Szmaragdy są ściśle związane z życiem żywiołów i związaną z nią magią."
GEM.GARNET.ADJECTIVE,,Garnet,Granatowy
GEM.GARNET.NOUN,,Garnet,Granat
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","Granaty pokrywają różne minerały używane jako kamienie szlachetne, a wszystkie mają głęboki czerwony kolor. Niektóre klejnoty granatowe są w rzeczywistości skondensowaną formą ognia żywiołów."
GEM.JADE.ADJECTIVE,,Jade,Jadeitowy
GEM.JADE.NOUN,,Jade,Jadeit
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Minerał o jasnozielonym kolorze często używany do dekoracji. Elfy są również znane z używania jadeitu do produkcji leków, które mogą leczyć dolegliwości jelit."
GEM.JASPER.ADJECTIVE,,Jasper,Jaspisowy
GEM.JASPER.NOUN,,Jasper,Jaspis
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","Nieczysta odmiana krzemionki, która może występować w kilku kolorach, ale najczęściej czerwona. Jasper jest faworyzowany jako materiał dekoracyjny przez orków ze względu na swoją różnorodność."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradoryt
GEM.LABRADORITE.NOUN,,Labradorite,Labradoryt
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,"Skała, która świeci jasnoniebieskim opalizowaniem. Rzadsze okazy mogą odzwierciedlać szeroką gamę kolorów."
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapis lazuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapis lazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,"Kamień o jasnoniebieskim odcieniu, który jest używany jako kamień szlachetny."
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnezyt
GEM.MAGNESITE.NOUN,,Magnesite,Magnezyt
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,"Minerał, który można polerować na koraliki do użytku w biżuterii. Koraliki te mogą być barwione na wiele różnych kolorów."
GEM.MOONSTONE.ADJECTIVE,,Moonstone,Księżycowy
GEM.MOONSTONE.NOUN,,Moonstone,Kamień księżycowy
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Uważa się, że tworzy światło księżyca zrobione w skale, co sprawia, że ten kamień jest ulubieńcem elfów."
GEM.MORGANITE.ADJECTIVE,,Morganite,Morganitowy
GEM.MORGANITE.NOUN,,Morganite,Morganit
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,Różowa odmiana berylu. Nazwa została nazwana po spopularyzowaniu przez szczególnie zamożnego kupca w dobie mitu.
GEM.OPAL.ADJECTIVE,,Opal,Opalowy
GEM.OPAL.NOUN,,Opal,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","Krzemionka nasycona magią oceanów, co czyni go faworytem żeglarzy i rybaków."
GEM.PAINITE.ADJECTIVE,,Painite,Painit
GEM.PAINITE.NOUN,,Painite,Painit
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,"Bardzo rzadki kamień szlachetny, który jest często identyfikowany jako szafir niebarwny. Kryształy mają naturalnie sześciokątny kształt i są ulubionymi taktykami."
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rodochrosite
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rodochrosite
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,"Znaleziono w różnych odcieniach czerwieni do różu. Nie jest tak trudny jak większość kamieni szlachetnych, co czyni go złym wyborem do pierścionków i innych biżuterii o dużej wytrzymałości."
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,Kryształowy
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Kryształ
