KEY,ENGLISH,NOTES,GERMAN,FRENCH,ITALIAN,SPANISH,PORTUGUESE,PORTUGUESE BR,POLISH,RUSSIAN,TURKISH,DANISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH,JAPANESE,SIMPLIFIED CHINESE,KOREAN
ACTION.JOB.PLANTING,Planting {{requiredItem}},,Pflanzt {{requiredItem}},Plante: {{requiredItem}},Sta piantando: {{requiredItem}},Colocando {{requiredItem}},A plantar {{requiredItem}},Plantando {{requiredItem}},,Сажает: {{requiredItem}},{{requiredItem}} dikiliyor,Planter {{requiredItem}},,Plantering {{RequireDem}},,,,{{requiredItem}}を植えている,,
ACTION.JOB.REMOVE_PESTS_FROM_CROP,Removing pests from {{targetPlant}},,Entfernt Schädlinge von {{targetPlant}},Désinsectise: {{targetPlant}},Sta disinfestando: {{targetPlant}},Eliminando plagas de {{targetPlant}},A remover pragas de {{targetPlant}},Exterminando pragas de {{targetPlant}},,Избавляет от вредителей: {{targetPlant}},{{targetPlant}} haşerat temizleniyor.,Fjerner skadedyr fra {{targetPlant}},,Ta bort skadedjur från {{targetPlant}},,,,{{targetPlant}}の害虫を駆除している,,
ACTION.JOB.SHOVELLING,Shovelling {{targetDescription}},,Schaufelt {{targetDescription}},Pelle {{targetDescription}},Spalatura {{targetDescription}},Paleando {{targetDescription}},Pás {{targetDescription}},,,Лопата {{targetDescription}},{{targetDescription}} kürekle kaldırılıyor,Graver {{targetDescription}},,Skovning {{targetDescription},,,,{{targetDescription}}を掘っている,,
ACTION.JOB.TILLING,Tilling the earth,,Bestellt das Feld,Laboure la terre,Sta arando il terreno,Labrando la tierra,A lavrar a terra,Lavrando a terra,,Обрабатывает землю,Toprak belleniyor.,Pløjer jorden,,Jordbearbetning,,,,大地を耕している,,
ACTION.JOB.TRANSFER_LIQUID,Filling {{targetDescription}},,Füllt {{targetDescription}},Rempli: {{targetDescription}},Sta riempiendo: {{targetDescription}},Rellenando {{targetDescription}},A encher {{targetDescription}},Enchendo {{targetDescription}},,Заполняет: {{targetDescription}},{{targetDescription}} dolduruluyor.,Fylder {{targetDescription}},,Fyllning {{targetDescription},,,,{{targetDescription}}を満たしている,,
ACTION.KNOCKED_UNCONSCIOUS,Knocked unconscious,,Bewusstlos geschlagen,,,Incosciente,,,,,,,,,,,,意識を失っている,,
ACTION.MALTING.VERB,Malting,,Mälzen,,,Malteando,,,,,Çimlendiriliyor,,,,,,,溶融している,,
ACTION.PREPARATION.VERB,Preparing,,Bereitet vor,Préparation,Mi sto preparando,Preparando,Preparando,,,Готовится,Hazırlanıyor,Forbereder,,Förbereder,,,,準備している,,
ACTION.SELECT_JOB.DESCRIPTION,Looking for work to do,,Sucht Arbeit,Cherche quoi faire,Sta cercando qualcosa da fare,Buscando qué hacer,À procura de trabalho,Procurando o que fazer,,Ищет работу,Yapacak iş arıyor,Leder efter arbejde at lave,,Söker efter arbete,,,,仕事を探している,,
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,Sleeping on {{tileDescription}},,Schläft auf {{tileDescription}},Dors: {{tileDescription}},Sta dormendo su: {{tileDescription}},Durmiendo sobre {{tileDescription}},A dormir em {{tileDescription}},Dormindo em {{tileDescription}},,Спит на: {{tileDescription}},{{tileDescription}} üzerinde uyuyor.,Sover på {{tileDescription}},,Sova på {{TileDescription},,,,{{tileDescription}}で眠っている,,
ACTION.STUNNED,Stunned,,,,,Aturdido,,,,,,,,,,,,スタンしている,,

ASHES.NOUN,Ash,,Asche,,,Cenizas,,,,,,,,,,,,灰,,

BODY_STRUCTURE.ABDOMEN,Abdomen,,Abdomen,,,Abdomen,,,,,,,,,,,,腹部,,
BODY_STRUCTURE.ARM,Arm,,Arm,,,Brazo,,,,,,,,,,,,腕,,
BODY_STRUCTURE.DAMAGE.BLEEDING,Bleeding,,Blutet,,,Sangrando,,,,,,,,,,,,出血,,
BODY_STRUCTURE.DAMAGE.BROKENBONES,Broken,,Gebrochen,,,Roto,,,,,,,,,,,,骨折,,
BODY_STRUCTURE.DAMAGE.BRUISED,Bruised,,Gequetscht,,,Magullado,,,,,,,,,,,,痣になっている,,
BODY_STRUCTURE.DAMAGE.DESTROYED,Destroyed,,Zerstört,,,Destruido,,,,,,,,,,,,破壊された,,
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,Rear left,,Hinten links,,,Trasera izquierda,,,,,,,,,,,,後方左,,
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,Rear right,,Hinten rechts,,,Trasera derecha,,,,,,,,,,,,後方右,,
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,Front left,,Vorne links,,,Delantera izquierda,,,,,,,,,,,,前方左,,
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,Front right,,Vorne rechts,,,Delantera derecha,,,,,,,,,,,,前方右,,
BODY_STRUCTURE.DISCRIMINATOR.LEFT,Left,,Links,,,Izquierda,,,,,,,,,,,,左,,
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,Right,,Rechts,,,Derecha,,,,,,,,,,,,右,,
BODY_STRUCTURE.FOOT,Foot,,Fuß,,,Pie,,,,,,,,,,,,足,,
BODY_STRUCTURE.HAND,Hand,,Handwerk,,,Mano,,,,,,,,,,,,手,,
BODY_STRUCTURE.HEAD,Head,,Kopf,,,Cabeza,,,,,,,,,,,,頭,,
BODY_STRUCTURE.HOOF,Hoof,,Huf,,,Pezuña,,,,,,,,,,,,蹄,,
BODY_STRUCTURE.LEG,Leg,,Bein,,,Pierna,,,,,,,,,,,,脚,,
BODY_STRUCTURE.ORGAN.BRAIN,Brain,,Gehirn,,,Cerebro,,,,,,,,,,,,脳,,
BODY_STRUCTURE.ORGAN.EYE,Eye,,Auge,,,Ojo,,,,,,,,,,,,目,,
BODY_STRUCTURE.ORGAN.HEART,Heart,,Herz,,,Corazón,,,,,,,,,,,,心臓,,
BODY_STRUCTURE.ORGAN.INTESTINES,Intestines,,Innerein,,,Intestinos,,,,,,,,,,,,腸,,
BODY_STRUCTURE.ORGAN.KIDNEY,Kidney,,Niere,,,Riñón,,,,,,,,,,,,腎臓,,
BODY_STRUCTURE.ORGAN.LUNG,Lung,,Lunge,,,Pulmón,,,,,,,,,,,,肺,,
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,Destroyed,,Zerstört,,,Reventado,,,,,,,,,,,,破壊された：,,
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,Heavy damage to,,Schwerer Schaden an,,,Daño grave en,,,,,,,,,,,,重傷：,,
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,Light damage to,,Leichter Schaden an,,,Daño leve en,,,,,,,,,,,,軽傷：,,
BODY_STRUCTURE.PAW,Paw,,Pfote,,,Zarpa,,,,,,,,,,,,肉球,,
BODY_STRUCTURE.TORSO,Chest,,Brust,,,Pecho,,,,,,,,,,,,胸,,

BONE.BONE,Bone,,Knochen,,,Hueso,,,,,,,,,,,,骨,,

CARCASS.CARP.PREPARED.NOUN,Carp fillet,,Karpfenfilet,,,Filete de carpa,,,,,,,,,,,,コイの切り身,,
CARCASS.CARP.PREPARED.PLURAL,Carp fillets,,Karpfenfilets,,,Filetes de carpa,,,,,,,,,,,,コイの切り身,,
CARCASS.GROUP,Corpses,,Leichen,,,Cadáveres,,,,,,,,,,,,死体,,
CARCASS.MEAT.LARGE,Meat (large),,Fleisch (groß),,,Carne (grande),,,,,,,,,,,,食肉(大),,
CARCASS.MEAT.MEDIUM,Meat (medium),,Fleisch (mittel),,,Carne (mediana),,,,,,,,,,,,食肉(中),,
CARCASS.MEAT.SMALL,Meat (small),,Fleisch (klein),,,Carne (pequeña),,,,,,,,,,,,食肉(小),,
CARCASS.PERCH.PREPARED.NOUN,Perch fillet,,Barschfilet,,,Filete de perca,,,,,,,,,,,,パーチの切り身,,
CARCASS.PERCH.PREPARED.PLURAL,Perch fillets,,Barschfilets,,,Filetes de perca,,,,,,,,,,,,パーチの切り身,,
CARCASS.PIKE.PREPARED.NOUN,Pike fillet,,Hechtfilet,,,Filete de lucio,,,,,,,,,,,,マスの切り身,,
CARCASS.PIKE.PREPARED.PLURAL,Pike fillets,,Hechtfilets,,,Filetes de lucio,,,,,,,,,,,,マスの切り身,,

CLOTH.HEMP-LINEN,Hemp,,,,,Cáñamo,,,,,,,,,,,,麻,,

CONSTRUCTION.DESCRIPTION,Construction of {{materialType.adjective}} {{furnitureType.noun}},,Herstellung von {{furnitureType.noun}} aus {{materialType}},Construction: {{furnitureType.noun}} {{materialType.adjective}},Costruzione di: {{furnitureType.noun}} {{materialType.adjective}},Construcción de {{furnitureType.noun}} {{materialType.adjective}},Construção de {{materialType.adjective}} {{furnitureType.noun}},Fabricação de {{furnitureType.noun}} {{materialType.adjective}},,Строительство: {{furnitureType.noun}} {{materialType.adjective}},{{furnitureType.noun}}  {{materialType}} inşa ediliyor.,Bygning af {{materialType.adjective}} {{furnitureType.noun}},,Konstruktion av {{materialType.adjective}} {{furnitureType.noun}},,,,{{materialType.adjective}} {{furnitureType.noun}}を構築している,,
CONSTRUCTION.ITEM_ALLOCATION,{{quantity}} of {{itemDescription}} allocated,,{{quantity}} von {{itemDescription}} zugewiesen,Assignation: {{quantity}}{{itemDescription}},Assegnazione di {{itemDescription}}: {{quantity}},Asignado: {{quantity}} de {{itemDescription}},{{quantity}} de {{itemDescription}} atribuídos,Alocação: {{quantity}} {{itemDescription}},,Распределено: {{quantity}} из {{itemDescription}},{{quantity}}  {{itemDescription}} atandı.,{{quantity}} af {{itemDescription}} allokeret,,{{kvantitet}} av {{itemDescription}} allokerade,,,,{{quantity}}/{{itemDescription}}が割り当てられている,,
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,Removing other items,,Entfernt andere Gegenstände,Retire d'autres objets,Sta rimuovendo altri oggetti,Eliminando otros objetos,A remover outros itens,Removendo outros itens,,Удаление других предметов,Alan temizleniyor.,Fjerner andre genstande,,Ta bort andra objekt,,,,邪魔なものを撤去している,,
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,There are items that need to be removed from this furniture’s construction area before it can progress.,,Es müssen Gegenstände aus dem Konstruktionsbereich entfernt werden bevor mit dem Bau fortgefahren werden kann.,Il y a des éléments qui doivent être retirés de la zone de construction de ce meuble avant qu'il ne puisse être construit.,Ci sono oggetti che devono essere rimossi dall'area di costruzione di questo mobile prima che possa progredire.,Hay elementos que deben ser retirados del área de construcción de este mueble antes de que pueda progresar.,Há itens que precisam ser removidos da área de construção deste mobiliário antes que ele possa progredir.,,,"Есть предметы, которые необходимо удалить из строительной зоны этой мебели, прежде чем она сможет продвинуться.",Mobilyanın inşa edilebilmesi alandaki eşyaların temizlenmesi gerekiyor.,"Der er genstande der mangler at blive flyttet fra møblets byggeplads, f�r at det kan fremskride.",,Det finns föremål som måste tas bort från möbelns byggområde innan det kan utvecklas.,,,,何か構築の邪魔になるものがあるため、先にそれらを撤去する必要があります。,,
CONSTRUCTION.STATUS.SELECTING_MATERIALS,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,,Wartet auf mehr {{itemDescription.plural}} aus {{materialType}},Attend plus de {{itemDescription.plural}} en {{materialType}} disponibles,In attesa di maggiore disponibilità di {{itemDescription.plural}} {{materialType}},Esperando a que haya disponibles más {{itemDescription.plural}} {{materialType}},A aguardar por mais {{materialType}} {{itemDescription.plural}} disponível,Aguardando mais {{itemDescription.plural}} de {{materialType}} disponíveis,,Ожидание дополнительных материалов: {{materialType}} {{itemDescription.plural}},Daha fazla {{itemDescription.plural}} {{materialType}} bekleniyor.,Venter på at mere {{materialType}} {{itemDescription.plural}} bliver tilgængeligt,,Väntar på att fler {{MaterialType}} {{itemDescription.plural}} är tillgängliga,,,," {{materialType}} {{itemDescription.plural}} がより多く必要",,
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,Under construction,,Wird gebaut,En construction,In costruzione,En construcción,Em construção,Em construção,,Идет строительство,İnşa ediliyor,Under konstruktion,,Under konstruktion,,,,建築している,,
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,Waiting for resources to arrive,,Wartet auf Materialien,Attend l'arrivée de ressources,In attesa dell'arrivo delle risorse,Esperando a que los recursos lleguen,A aguardar a chegada de recursos,Aguardando a chegada de recursos,,Ожидание доставки ресурсов,Kaynakların varışı bekleniyor,Venter på at resourcerne ankommer,,Väntar på resurser att komma fram,,,,資材の到着まで待機している,,

COOKING.BREAD.DESCRIPTION,{{materialDescription}} bread,,{{materialDescription}} Brot,{{materialDescription}} pain,{{materialDescription}} pane,"Pan {{materialDescription}} ",{{materialDescription}} pão,,,{{materialDescription}} хлеб,{{materialDescription}} ekmek,{{materialDescription}} brød,,{{MaterialDescription}} bröd,,,,{{materialDescription}}のパン,,
COOKING.DUAL_INGREDIENT.DESCRIPTION,{{materialOne}} and {{materialTwo}},,{{materialOne}} und {{materialTwo}},{{materialOne}} et {{materialTwo}},{{materialOne}} e {{materialTwo}},{{materialOne}} y {{materialTwo}},{{materialOne}} e {{materialTwo}},{{materialOne}} e {{materialTwo}},,{{materialOne}} и {{materialTwo}},{{materialOne}} ve {{materialTwo}},{{materialOne}} og {{materialTwo}},,{{MaterialAlone}} och {{MaterialTwo}},,,,{{materialOne}} と {{materialTwo}},,
COOKING.SOUP.DESCRIPTION,{{materialDescription}} soup,,Suppe aus {{materialDescription}},Soupe: {{materialDescription}},Zuppa ({{materialDescription}}),Sopa de {{materialDescription}},Sopa de {{materialDescription}},sopa de {{materialDescription}},,{{materialDescription}} суп,{{materialDescription}} çorbası,{{materialDescription}} suppe,,{{MaterialDescription}} soppa,,,,{{materialDescription}}のスープ,,
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"{{materialOne}}, {{materialTwo}} and {{materialThree}}",,,,,"{{materialOne}}, {{materialTwo}} y {{materialThree}}",,,,,,,,,,,,{{materialOne}}、 {{materialTwo}}と {{materialThree}},,

CRAFTING_TYPE.BAKING,Baking,,Backen,,,Horneando,,,,,Yemek Yapma,,,,,,,パンを焼く,,
CRAFTING_TYPE.BLACKSMITHING,Blacksmithing,,Schmieden,,,Forjando,,,,,Demirci,,,,,,,鍛造する,,
CRAFTING_TYPE.CARPENTRY,Carpentry,,Schreinern,,,Fabricando,,,,,Marangoz,,,,,,,家具を作成する,,
CRAFTING_TYPE.COKE_OVEN_BAKING,Coke baking,,Verkoken,,,Destilando coque,,,,,Fırıncılık,,,,,,,石炭をコークスにする,,
CRAFTING_TYPE.FERMENTING,Fermenting,,Gären,,,Fermentando,,,,,Fermantasyon,,,,,,,発酵させる,,
CRAFTING_TYPE.FLETCHING,Fletching,,Befiedern,,,Emplumando,,,,,,,,,,,,弓矢を製造する,,
CRAFTING_TYPE.MALTING,Malting,,Mälzen,,,Malteando,,,,,Çimlendirme,,,,,,,モルツを加工する,,
CRAFTING_TYPE.MALT_MASHING,Malt mashing,,Maischen,,,Cociendo malta,,,,,Mayşeleme,,,,,,,モルツを糖化する,,
CRAFTING_TYPE.MILLING,Milling,,Mahlen,,,Moliendo,,,,,Frzeleme,,,,,,,粉を挽く,,
CRAFTING_TYPE.ORE_CRUSHING,Ore crushing,,Erz zerkleinern,,,Machacando mineral,,,,,Cevher Parçalama,,,,,,,鉱石を砕く,,
CRAFTING_TYPE.SMELTING,Smelting,,Schmelzen,,,Fundiendo,,,,,Döküm,,,,,,,製錬をする,,
CRAFTING_TYPE.STONEMASONRY,Stonemasonry,,Stein bearbeiten,,,Esculpiendo,,,,,Taş Ustası,,,,,,,石を加工する,,
CRAFTING_TYPE.WEAVING,Weaving,,Weben,,,Tejiendo,,,,,,,,,,,,繊維を織る,,
CRAFTING_TYPE.WOODCUTTING,Woodcutting,,Holz hacken,,,Talando,,,,,Doğramacı,,,,,,,伐採する,,
CRAFTING_TYPE.WORT_BREWING,Brewing,,Brauen,,,Elaborando,,,,,Mayalama,,,,,,,醸造する,,

CREATURE.DAMAGE.DESCRIPTION_A,{{damageType}} {{bodyPart}},,,,,{{bodyPart}} {{damageType}},,,,,,,,,,,,{{damageType}} {{bodyPart}},,
CREATURE.DAMAGE.DESCRIPTION_B,{{damageType}} {{discriminator}} {{bodyPart}},,,,,{{bodyPart}} {{discriminator}} {{damageType}},,,,,,,,,,,,{{damageType}} {{discriminator}} {{bodyPart}},,
CREATURE.DESCRIPTION,{{gender.adjective}} {{race.noun}},,,,,{{race.noun}} {{gender.adjective}},,,,,,,,,,,,{{gender.adjective}} {{race.noun}},,
CREATURE.STATUS.BLINDED,Blinded,,Geblendet,,,Cegado,,,,,,,,,,,,盲目になっている,,
CREATURE.STATUS.DEAD,Dead,,"Tot ",,,Muerto,,,,,,,,,,,,死んでいる,,

CROP.AFFLICTED_BY_PESTS,Afflicted by pests,,Von Schädlingen befallen,Infesté de nuisibles,Infestato dai parassiti,Infestado por plaga,Atacado por pragas,Infestação de pragas,,Поражено вредителями,Böceklenmiş,Ramt af skadedyr,,Pådrabbad av skadedjur,,,,害虫が発生している,,
CROP.AFFLICTED_BY_PESTS.TOOLTIP,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,,"Diese Pflanze ist von einer hohen Anzahl an Blattläusen und anderen Insekten befallen, die von einem {{PROFESSION.FARMER}} entfernt werden müssen bevor sie wieder gedeihen kann. Die Pflanze kann sterben wenn die Schädlinge nicht rechtzeitig entfernt werden!",Cette culture a été contaminée par un nombre excessif de pucerons et d'autres insectes qui doivent être enlevés par un {{PROFESSIONN.FARMER}} avant de pouvoir prospérer à nouveau. Ne pas enlever les nuisibles à temps pourrait signifier que cette récolte va mourir!,Questa coltura è stata afflitta da un numero eccessivo di afidi e altri insetti che devono essere rimossi da un {{PROFESSION.FARMER}} prima che possa prosperare nuovamente. Non rimuovere i parassiti in tempo potrebbe significare che questo raccolto muore!,¡Este cultivo ha sido afectado por un número excesivo de áfidos y otros insectos que necesitan ser eliminados por un {{PROFESSION.FARMER}} antes de que pueda florecer de nuevo. ¡No eliminar las plagas a tiempo podría implicar que esta cosecha muera!,Esta cultura foi aflita por um número excessivo de pulgões e outros insetos que precisam ser removidos por um {{PROFISSION.FARMER}} antes que possa florescer novamente. Não remover as pragas no tempo pode significar que esta colheita morre!,,,"Эта культура страдает от чрезмерного количества тлей и других насекомых, которые необходимо удалить {{PROFESSION.FARMER}}, прежде чем она сможет снова процветать. Неудаление вредителей во времени может означать, что эта культура умирает!",Bu bitki aşırı böceklenmiş veya zararlı otlarla sarılmış. Tekrar mahsül verebilmesi için önce {{PROFESSION.FARMER}} tarafından temizlenmesi gerekiyor. Dikkat! Hastallığın temizlenmemesi bitkinin ölmesi demek olabilir!,"Denne afgrød er ramt af en stor mængde bladlus og andre insekter, som skal fjernes af {{PROFESSION.FARMER}} før den kan blomstre igen. Hvis ikke, kan planten dø efter tilstrækkelig tid!",,Denna gröda har drabbats av ett alltför stort antal bladlöss och andra insekter som måste avlägsnas av en {{PROFER.FARMER}} innan den kan blomstra igen. Att inte ta bort skadedjur i tid kan innebära att denna gröda dör!,,,,この作物には害虫が発生しており、{{PROFESSION.FARMER}}によって駆除されなければやがて枯死する可能性があります。,,
CROP.DESCRIPTION,{{materialType.noun}} plant,,{{materialType.noun}}-Pflanze,Plante:{{materialType.noun}},{{materialType.noun}},{{materialType.noun}},Planta {{materialType.noun}},plantação de {{materialType.noun}},,Растение: {{materialType.noun}},{{materialType.noun}} bitkisi,{{materialType.noun}} plante,,{{MaterialType.noun}} växt,,,,{{materialType.noun}},,
CROP.HARVEST_PROGRESS,Progress towards harvest: {{progress}}%,,Reifungsprozess: {{progress}} %,Progression avant récolte: {{progress}}%,Progresso della raccolta: {{progress}}%,Progreso de la cosecha: {{progress}} %,Progresso até à colheita: {{progress}}%,Progressão até a colheita: {{progress}}%,,Прогресс до сбора урожая: {{progress}}%,Hasada hazırlık: {{progress}}%,Fremskridt mod høst: {{progress}}%,,Framsteg mot skörd: {{framsteg}}%,,,,収穫中:完了まで{{progress}}%,,
CROP.MOISTURE_STATE.DROUGHTED,This plant has no access to water for a long time and has stopped growing,,Diese Pflanze hatte lange keinen Zugang zu Wasser und hat aufgehört zu wachsen,,,Esta planta no ha tenido acceso a agua durante mucho tiempo y ha parado de crecer,,,,,,,,,,,,この植物は長い間水が与えられていないため、成長が止まっています,,
CROP.MOISTURE_STATE.NEEDS_WATERING,This plant has not been watered and is growing slowly,,Diese Pflanze wurde nicht bewässert und wächst langsam,,,Esta planta no ha sido regada y está creciendo lentamente,,,,,,,,,,,,この植物は水が不足しており、成長が遅くなっています,,
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,You can irrigate your crops with a channel containing water with 2 tiles.,,Du kannst deine Pflanzen mit einem Wasserkanal innerhalb 2 Kacheln bewässern.,,,Puedes irrigar tus cosechas con un canal de riego a 2 casillas de distancia.,,,,,,,,,,,,水路を掘ることによって周囲2タイル分の土地を灌漑し、継続的に水を与え続けることができます。,,
CROP.MOISTURE_STATE.WATERED,This plant has been watered recently and is growing quickly,,Diese Pflanze wurde vor kurzem gegossen und wächst schnell,,,Esta planta ha sido regada recientemente y está creciendo rápidamente,,,,,,,,,,,,この植物には十分な水が与えられており、成長速度が高まっています,,

DEATH_REASON.BURNING,Burning,,,,,Abrasado,,,,,,,,,,,,熱傷,,
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,Critical organ damage,,Kritischer Organschaden,,,Fallo orgánico crítico,,,,,,,,,,,,内蔵損傷,,
